gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.049607,0.050090,-0.004535
0.148555,0.085325,0.088175
0.103315,0.058020,0.099532
0.134849,0.064224,-0.012322
0.090084,0.146551,0.024538
0.068273,0.091360,0.076370
0.088241,0.055334,0.088656
0.127952,0.093543,0.049820
0.073515,0.016989,0.039297
0.069656,0.062232,0.021410
0.066601,0.081999,0.081151
0.067268,0.107611,0.050626
0.008333,0.126551,0.040648
0.072616,0.088456,0.057751
0.042421,0.176156,0.012271
0.105851,0.046913,0.033296
0.100028,0.074155,0.063793
0.119632,0.133378,0.067181
-0.029552,0.099243,-0.002500
0.042277,0.080391,0.053187
0.099812,0.035526,0.008401
0.027751,0.053886,0.101367
0.026574,0.047553,-0.025799
0.039201,0.021142,0.093296
0.057289,0.028391,0.089235
0.030806,0.041312,0.054017
0.051490,0.101876,0.043119
0.095425,0.059732,0.048282
-0.086179,0.034826,0.037240
0.049245,-0.005651,0.091321
0.107176,0.124683,0.092735
0.085704,0.074078,0.053803
0.000566,0.144721,0.022673
0.052743,0.070321,0.052141
0.099627,0.122144,0.131507
0.112034,-0.009338,0.015478
0.060940,0.026083,0.046958
0.034952,0.057530,0.021242
0.054500,0.017857,0.013180
0.004295,0.120371,0.061444
0.068198,0.041116,0.052778
-0.021934,0.054894,0.037835
0.060466,0.028631,0.041393
0.014248,-0.018820,-0.014665
-0.011612,0.009735,0.014276
0.048662,0.107339,0.106854
0.042224,0.022651,-0.041941
0.031163,0.016590,0.066050
-0.042242,0.095426,-0.059046
0.057313,0.137631,0.042903
0.051353,0.015051,0.077054
0.028202,0.030511,0.088098
0.131162,0.039789,0.055677
0.061600,0.125457,0.014310
0.023392,0.123619,0.022911
0.072896,0.078853,0.056444
0.071066,0.086190,-0.027645
0.033768,0.087492,0.097137
0.061117,0.112102,0.042376
0.048785,-0.011640,0.049565
0.022658,0.084130,0.004609
0.047661,0.033317,-0.001744
-0.039095,0.059632,0.089561
0.033905,0.105796,0.002456
-0.001111,0.063081,0.048673
0.054379,0.063773,0.072032
0.033417,0.064265,0.054139
0.010382,0.047309,0.085295
0.073241,0.104570,0.020890
0.091003,-0.008027,0.093962
0.140071,0.057472,-0.046842
-0.039419,0.104463,0.000936
0.047210,0.059564,0.071911
0.089641,0.065453,0.017794
0.069658,0.023288,-0.015959
0.048526,-0.004526,0.161638
0.059866,0.067310,0.021454
0.048535,0.076203,0.165922
0.046606,0.064995,0.013936
