accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
0.930194,-1.589974,-9.592435
0.929844,-1.595356,-9.603798
0.930785,-1.602009,-9.594627
0.940823,-1.600392,-9.596596
0.934810,-1.603652,-9.588125
0.935947,-1.618654,-9.594150
0.936230,-1.604957,-9.595557
0.936106,-1.615507,-9.591694
0.945143,-1.620299,-9.593391
0.932267,-1.598876,-9.595575
0.940757,-1.618621,-9.591168
0.934401,-1.625436,-9.587509
0.941461,-1.612767,-9.587793
0.949606,-1.619472,-9.591058
0.942439,-1.621509,-9.587223
0.954198,-1.629069,-9.595811
0.952303,-1.629558,-9.592130
0.945256,-1.618208,-9.583231
0.950018,-1.624252,-9.597609
0.945221,-1.631602,-9.591005
0.960434,-1.628068,-9.592972
0.955893,-1.629339,-9.588158
0.953327,-1.647820,-9.590380
0.948804,-1.636665,-9.589207
0.950135,-1.638415,-9.593460
0.964646,-1.645436,-9.586242
0.948578,-1.640343,-9.587529
0.952483,-1.641534,-9.588108
0.963651,-1.638911,-9.593667
0.956446,-1.646864,-9.578191
0.950462,-1.640820,-9.592663
0.950342,-1.637829,-9.589782
0.961902,-1.653675,-9.578889
0.945376,-1.653142,-9.581879
0.964705,-1.651173,-9.586218
0.952978,-1.662037,-9.591048
0.971343,-1.662542,-9.575230
0.962513,-1.650778,-9.575712
0.962944,-1.658588,-9.587366
0.962254,-1.660474,-9.588301
0.959100,-1.655024,-9.569863
0.965646,-1.655737,-9.577407
0.969882,-1.652721,-9.579262
0.970006,-1.666097,-9.584483
0.963357,-1.665251,-9.575710
0.967488,-1.663480,-9.581248
0.976707,-1.665634,-9.575802
0.964864,-1.678967,-9.584725
0.972495,-1.671436,-9.588641
0.985222,-1.669193,-9.578579
0.982377,-1.686862,-9.579891
0.980030,-1.672912,-9.583791
0.978168,-1.676395,-9.579786
0.963564,-1.674358,-9.590092
0.970885,-1.673110,-9.578710
0.974378,-1.685334,-9.579093
0.974080,-1.675366,-9.583644
0.982056,-1.675501,-9.586640
0.987108,-1.684406,-9.581999
0.973625,-1.689269,-9.581217
0.986516,-1.682398,-9.582210
0.972569,-1.681539,-9.570146
0.973800,-1.693544,-9.573542
0.992344,-1.686468,-9.580104
0.983235,-1.696149,-9.575451
0.986680,-1.694589,-9.578696
0.984780,-1.696054,-9.578364
0.993347,-1.689360,-9.578786
0.987319,-1.719791,-9.575103
0.993809,-1.692845,-9.572892
0.992457,-1.710928,-9.573041
0.995342,-1.694437,-9.579226
0.995828,-1.700873,-9.567470
0.991086,-1.710238,-9.567835
0.996478,-1.706980,-9.577308
0.993863,-1.713561,-9.574922
0.992559,-1.702456,-9.570629
0.991795,-1.704162,-9.569903
0.990276,-1.710546,-9.572566
0.996584,-1.709282,-9.574910
0.991675,-1.712270,-9.572951
0.990206,-1.703196,-9.572198
1.000277,-1.707101,-9.570320
0.994606,-1.717985,-9.570017
1.004786,-1.712822,-9.581590
0.996522,-1.717547,-9.573769
1.000381,-1.710269,-9.573671
1.000168,-1.714693,-9.569736
0.999887,-1.714282,-9.568310
0.998315,-1.731207,-9.555023
1.001145,-1.715703,-9.572525
1.004033,-1.716088,-9.562402
0.997679,-1.725281,-9.576585
1.009632,-1.719113,-9.572259
1.003548,-1.715377,-9.566986
1.011691,-1.725327,-9.568309
1.005757,-1.735936,-9.565387
1.008598,-1.721678,-9.572016
1.006516,-1.723556,-9.565403
1.006152,-1.738582,-9.568131
1.007308,-1.728869,-9.569633
1.007662,-1.738785,-9.569881
1.000073,-1.736932,-9.567486
1.021163,-1.736871,-9.577834
1.011604,-1.742778,-9.551292
1.015123,-1.739984,-9.568705
1.008605,-1.733432,-9.563336
1.014322,-1.731993,-9.569928
1.013531,-1.735992,-9.572031
1.008433,-1.738423,-9.562428
1.013241,-1.739085,-9.565264
1.016912,-1.746807,-9.563699
1.023637,-1.741217,-9.568888
1.017713,-1.735839,-9.560914
1.012184,-1.753185,-9.574564
1.019440,-1.737582,-9.566942
1.022676,-1.742965,-9.571051
1.013691,-1.741372,-9.563560
1.021738,-1.750438,-9.562855
1.025302,-1.752944,-9.566269
1.024088,-1.742866,-9.555482
1.023732,-1.758837,-9.571209
1.015992,-1.747457,-9.563629
1.018962,-1.758622,-9.570285
1.013077,-1.760507,-9.567132
1.019770,-1.751118,-9.558575
1.019903,-1.760318,-9.560477
1.038390,-1.751752,-9.550404
1.017306,-1.750275,-9.555199
1.031861,-1.756145,-9.571768
1.026202,-1.766033,-9.559808
1.029657,-1.766130,-9.558765
1.020226,-1.766796,-9.552909
1.023460,-1.760868,-9.569420
1.027290,-1.758287,-9.569160
1.029289,-1.765026,-9.563088
1.022541,-1.768201,-9.560768
1.027535,-1.758798,-9.562354
1.031092,-1.766216,-9.562058
1.034231,-1.759107,-9.560053
1.029997,-1.774730,-9.560388
1.025734,-1.761546,-9.555566
1.027243,-1.773530,-9.565057
1.027649,-1.772737,-9.563957
1.035292,-1.770114,-9.565309
1.038136,-1.767953,-9.556738
1.033020,-1.767280,-9.563440
1.031891,-1.760661,-9.560091
1.019849,-1.766993,-9.564915
1.027054,-1.779325,-9.563114
1.035202,-1.779205,-9.555890
1.036589,-1.767094,-9.558660
1.036147,-1.776445,-9.556297
1.033481,-1.777064,-9.557288
1.027267,-1.777789,-9.554933
1.029745,-1.776933,-9.565100
1.038620,-1.784445,-9.550881
1.041973,-1.772859,-9.562577
1.034108,-1.785496,-9.549442
1.039589,-1.783737,-9.559061
1.047255,-1.783670,-9.559533
1.042711,-1.780907,-9.558937
1.043652,-1.787691,-9.552321
1.038017,-1.780973,-9.549062
1.043215,-1.788048,-9.549291
1.040913,-1.787509,-9.548061
1.034521,-1.784448,-9.556095
1.040364,-1.784607,-9.556437
1.043245,-1.791177,-9.554441
1.045370,-1.782910,-9.554542
1.040679,-1.786765,-9.547475
1.035275,-1.786732,-9.551258
1.047440,-1.800982,-9.549500
1.044457,-1.793414,-9.559564
1.041257,-1.792171,-9.562396
1.044799,-1.786061,-9.557455
1.040765,-1.788715,-9.552873
1.053907,-1.793378,-9.558389
1.043810,-1.795428,-9.553636
1.045851,-1.794818,-9.548058
1.053242,-1.790485,-9.561809
1.048303,-1.799640,-9.553317
1.044083,-1.805390,-9.542449
1.047244,-1.794733,-9.554866
1.058776,-1.803987,-9.554707
1.042945,-1.792262,-9.553393
1.043455,-1.796883,-9.549014
1.046142,-1.803674,-9.552802
1.048166,-1.801557,-9.551345
1.044054,-1.799015,-9.539927
1.052684,-1.798929,-9.554296
1.051778,-1.804964,-9.546591
1.054357,-1.809140,-9.543107
1.050736,-1.801639,-9.545508
1.042534,-1.808050,-9.548526
1.051827,-1.803470,-9.551329
1.055907,-1.811622,-9.554320
1.053359,-1.799746,-9.550191
1.060995,-1.810347,-9.542702
1.057436,-1.812320,-9.549109
1.054877,-1.810048,-9.547124
1.041564,-1.815013,-9.551889
1.061508,-1.806413,-9.553200
1.050116,-1.808607,-9.551264
1.052850,-1.812444,-9.550961
1.052343,-1.819533,-9.554495
1.052666,-1.818713,-9.550727
1.047854,-1.807891,-9.545898
1.053461,-1.809174,-9.547850
1.052461,-1.818317,-9.552875
1.064920,-1.808541,-9.556852
1.053114,-1.815345,-9.551712
1.060808,-1.822853,-9.555457
1.069574,-1.818080,-9.540559
1.053940,-1.817992,-9.549364
1.067122,-1.815820,-9.542983
1.063512,-1.813177,-9.542446
1.062709,-1.816441,-9.538648
1.060052,-1.815168,-9.555106
1.064350,-1.817119,-9.547554
1.061813,-1.822708,-9.554110
1.078011,-1.815764,-9.543658
1.057841,-1.812889,-9.546640
1.054701,-1.825496,-9.547373
1.064088,-1.819452,-9.547364
1.061607,-1.819840,-9.550587
1.068575,-1.825331,-9.540192
1.064443,-1.823177,-9.536439
1.071802,-1.823371,-9.542572
1.068081,-1.830927,-9.538193
1.068954,-1.828222,-9.549395
1.061351,-1.822937,-9.537426
1.065410,-1.819528,-9.549702
1.061918,-1.825226,-9.539874
1.069213,-1.828308,-9.543850
1.061776,-1.824645,-9.550210
1.066269,-1.827563,-9.551570
1.068550,-1.835186,-9.548959
1.066533,-1.835955,-9.539981
1.064193,-1.837494,-9.550986
1.068901,-1.817191,-9.535023
1.079955,-1.837886,-9.539102
1.069943,-1.830910,-9.545932
1.061714,-1.832330,-9.542047
1.068634,-1.833017,-9.548916
1.065754,-1.834818,-9.550982
1.076203,-1.823403,-9.545224
1.071958,-1.838560,-9.537333
1.071323,-1.837153,-9.539199
1.067296,-1.831228,-9.543148
1.075661,-1.837672,-9.540223
1.067859,-1.832451,-9.541896
1.077196,-1.831900,-9.536970
1.069890,-1.829525,-9.545684
1.068689,-1.834369,-9.538760
1.069880,-1.844886,-9.541337
1.069489,-1.835607,-9.544396
1.078466,-1.834157,-9.544417
1.076460,-1.842257,-9.535104
1.067105,-1.840532,-9.548652
1.071416,-1.832413,-9.550796
1.069384,-1.833796,-9.544482
1.067578,-1.834207,-9.538641
1.074718,-1.844329,-9.541720
1.079707,-1.845990,-9.533818
1.073460,-1.849300,-9.541030
1.082348,-1.846205,-9.536370
1.074714,-1.845902,-9.535621
1.076296,-1.849746,-9.540591
1.063711,-1.837741,-9.544963
1.075662,-1.843204,-9.541029
1.076953,-1.849340,-9.545247
1.072781,-1.838072,-9.545232
1.074381,-1.846059,-9.541301
1.071559,-1.848437,-9.544983
1.072604,-1.850639,-9.546513
1.073497,-1.847181,-9.536636
1.081892,-1.843683,-9.542081
1.079718,-1.840358,-9.535820
1.074454,-1.846948,-9.552011
1.079311,-1.838106,-9.551630
1.078977,-1.842364,-9.540174
1.075197,-1.851759,-9.548475
1.067663,-1.843975,-9.545521
1.076773,-1.858820,-9.540561
1.078715,-1.857351,-9.547359
1.082674,-1.848380,-9.537912
1.083420,-1.847020,-9.531667
1.077968,-1.857727,-9.538321
1.078508,-1.852598,-9.537885
1.084247,-1.855640,-9.535767
1.078202,-1.849934,-9.534955
1.087961,-1.851668,-9.536333
1.077558,-1.844898,-9.533836
1.077959,-1.849520,-9.544439
1.084330,-1.851758,-9.534276
1.073964,-1.849434,-9.541007
1.072772,-1.848943,-9.545988
1.079111,-1.852252,-9.547335
1.081126,-1.849997,-9.526040
1.087920,-1.856639,-9.541283
1.083286,-1.855752,-9.537024
1.095070,-1.855180,-9.536389
1.088141,-1.854830,-9.545692
1.083684,-1.861699,-9.535099
1.078619,-1.855154,-9.549724
1.089433,-1.858679,-9.540562
1.080115,-1.861926,-9.541223
1.083575,-1.862818,-9.540143
1.079925,-1.865047,-9.537271
1.087108,-1.858882,-9.538846
1.079971,-1.858200,-9.537873
1.079556,-1.853241,-9.538835
1.089331,-1.857864,-9.531770
1.083656,-1.856493,-9.531914
1.083595,-1.859274,-9.538766
1.084871,-1.857772,-9.538600
1.090368,-1.861884,-9.550949
1.083684,-1.860461,-9.540984
1.082072,-1.868919,-9.543153
1.091572,-1.871951,-9.539300
1.090371,-1.863234,-9.535468
1.086822,-1.864104,-9.532872
1.083461,-1.866844,-9.534465
1.086169,-1.868672,-9.535487
1.091028,-1.863268,-9.542762
1.082533,-1.874008,-9.544337
1.084001,-1.865041,-9.541297
1.089554,-1.858423,-9.543672
1.082379,-1.869644,-9.534929
1.086567,-1.861542,-9.540163
1.087366,-1.869035,-9.535176
1.089062,-1.866419,-9.535255
1.093546,-1.869090,-9.538078
1.084310,-1.868287,-9.534300
1.086298,-1.866464,-9.544297
1.090186,-1.860235,-9.542105
1.085857,-1.870925,-9.544658
1.087420,-1.863433,-9.535335
1.089947,-1.872879,-9.532728
1.091248,-1.865570,-9.541086
1.091551,-1.868227,-9.535778
1.094019,-1.869175,-9.533826
1.089921,-1.871053,-9.539554
1.089650,-1.876568,-9.545014
1.087390,-1.879111,-9.536835
1.096074,-1.863924,-9.533459
1.089145,-1.861355,-9.537721
1.084582,-1.868385,-9.531396
1.097631,-1.859369,-9.526550
1.088037,-1.871268,-9.533236
1.093122,-1.880279,-9.534823
1.087551,-1.871623,-9.531418
1.091743,-1.868942,-9.531915
1.092873,-1.871813,-9.541644
1.092968,-1.873203,-9.541381
1.093539,-1.881441,-9.546211
1.093547,-1.869584,-9.540041
1.096475,-1.878955,-9.535136
1.095646,-1.872404,-9.533736
1.094251,-1.878602,-9.538731
1.095572,-1.879185,-9.522143
1.088925,-1.880417,-9.537099
1.091390,-1.874764,-9.529467
1.090308,-1.879630,-9.527142
1.092376,-1.872184,-9.526240
1.088370,-1.872203,-9.533227
1.094939,-1.879821,-9.527959
1.093370,-1.880510,-9.543388
1.090684,-1.875464,-9.532793
1.090484,-1.877913,-9.536760
1.093876,-1.884216,-9.532066
1.087277,-1.874214,-9.544315
1.093354,-1.873975,-9.536003
1.093015,-1.878153,-9.532782
1.088269,-1.879463,-9.538418
1.095302,-1.882820,-9.529956
1.087361,-1.877737,-9.535062
1.089034,-1.877024,-9.537524
1.095706,-1.873301,-9.536032
1.095420,-1.879707,-9.539119
1.094852,-1.877342,-9.528049
1.090342,-1.878605,-9.532392
1.101003,-1.884911,-9.534329
1.102158,-1.879560,-9.543684
1.083936,-1.882913,-9.534175
1.099952,-1.878141,-9.528920
1.091528,-1.883023,-9.529702
1.087759,-1.876042,-9.536599
1.099299,-1.882442,-9.538569
1.102193,-1.869623,-9.539163
1.105267,-1.880011,-9.530460
1.105972,-1.875796,-9.532691
1.101321,-1.879820,-9.533397
1.108903,-1.879830,-9.541461
1.093724,-1.884199,-9.538914
1.092965,-1.890928,-9.525758
1.101991,-1.876036,-9.538523
1.101460,-1.883123,-9.537232
1.097489,-1.873405,-9.537251
1.103447,-1.881516,-9.537269
1.099522,-1.887486,-9.528945
1.097632,-1.879629,-9.534410
1.094436,-1.887696,-9.534340
1.100654,-1.887488,-9.525759
1.102050,-1.884003,-9.532118
1.098483,-1.894504,-9.532258
1.094572,-1.885945,-9.530379
1.100342,-1.878642,-9.537057
1.102329,-1.880442,-9.526997
1.095411,-1.885368,-9.537381
1.099069,-1.885459,-9.538094
1.105696,-1.884302,-9.539147
1.110770,-1.891459,-9.530047
1.096702,-1.886070,-9.540748
1.095304,-1.886827,-9.536086
1.106422,-1.892849,-9.530267
1.103894,-1.882392,-9.537999
1.100683,-1.887130,-9.532522
1.098757,-1.877010,-9.529739
1.102077,-1.879683,-9.536327
1.092580,-1.892750,-9.520489
1.099562,-1.885279,-9.527503
1.098481,-1.881875,-9.537440
1.098765,-1.891437,-9.536834
1.104075,-1.886009,-9.532599
1.100858,-1.888169,-9.535794
1.100571,-1.891493,-9.536493
1.101664,-1.887542,-9.526416
1.089927,-1.888999,-9.529513
1.106377,-1.882823,-9.534381
1.101450,-1.881906,-9.542730
1.099267,-1.890746,-9.530537
1.106320,-1.888416,-9.522581
1.108968,-1.882193,-9.536877
1.101679,-1.894956,-9.529605
1.099824,-1.887275,-9.538237
1.104074,-1.894354,-9.532428
1.111261,-1.899458,-9.535192
1.100289,-1.885739,-9.531268
1.105139,-1.882829,-9.531735
1.095749,-1.891716,-9.523267
1.104512,-1.890454,-9.527316
1.109393,-1.894495,-9.533555
1.104443,-1.891913,-9.521747
1.100183,-1.880285,-9.539360
1.107915,-1.887816,-9.536400
1.095646,-1.893505,-9.537905
1.102621,-1.888880,-9.534723
1.098559,-1.891622,-9.531694
