ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.024147,0.354894,0.135395
0.024012,0.353033,0.134681
0.023877,0.351180,0.133970
0.023743,0.349338,0.133263
0.023610,0.347505,0.132560
0.023478,0.345682,0.131861
0.023347,0.343868,0.131165
0.023216,0.342064,0.130473
0.023086,0.340269,0.129785
0.022957,0.338484,0.129101
0.022829,0.336708,0.128420
0.022701,0.334941,0.127742
0.022574,0.333184,0.127068
0.022448,0.331436,0.126398
0.022323,0.329697,0.125732
0.022198,0.327967,0.125068
0.022074,0.326246,0.124409
0.021951,0.324534,0.123753
0.021829,0.322832,0.123100
0.021707,0.321138,0.122451
0.021586,0.319453,0.121805
0.021466,0.317777,0.121163
0.021346,0.316109,0.120524
0.021227,0.314451,0.119888
0.021109,0.312801,0.119256
0.020992,0.311160,0.118627
0.020875,0.309527,0.118002
0.020759,0.307903,0.117380
0.020643,0.306287,0.116761
0.020529,0.304680,0.116145
0.020414,0.303082,0.115533
0.020301,0.301491,0.114924
0.020188,0.299909,0.114318
0.020076,0.298336,0.113715
0.019965,0.296770,0.113116
0.019854,0.295213,0.112519
0.019744,0.293664,0.111926
0.019634,0.292123,0.111336
0.019525,0.290591,0.110749
0.019417,0.289066,0.110166
0.019309,0.287549,0.109585
0.019202,0.286040,0.109007
0.019096,0.284539,0.108433
0.018990,0.283046,0.107861
0.018885,0.281561,0.107293
0.018781,0.280084,0.106727
0.018677,0.278614,0.106165
0.018573,0.277152,0.105605
0.018470,0.275698,0.105049
0.018368,0.274251,0.104495
0.018267,0.272812,0.103944
0.018166,0.271381,0.103396
0.018065,0.269957,0.102852
0.017966,0.268540,0.102310
0.017866,0.267131,0.101770
0.017768,0.265729,0.101234
0.017670,0.264335,0.100701
0.017572,0.262948,0.100170
0.017475,0.261568,0.099642
0.017379,0.260196,0.099117
0.017283,0.258830,0.098595
0.017188,0.257472,0.098075
0.017093,0.256121,0.097559
0.016999,0.254777,0.097045
0.016905,0.253440,0.096533
0.016812,0.252110,0.096025
0.016719,0.250787,0.095519
0.016627,0.249471,0.095016
0.016536,0.248162,0.094515
0.016445,0.246860,0.094017
0.016354,0.245565,0.093522
0.016264,0.244276,0.093029
0.016175,0.242994,0.092539
0.016086,0.241719,0.092052
0.015997,0.240451,0.091567
0.015909,0.239189,0.091085
0.015822,0.237934,0.090605
0.015735,0.236685,0.090127
0.015649,0.235443,0.089653
0.015563,0.234208,0.089181
0.015477,0.232979,0.088711
0.015392,0.231756,0.088244
0.015308,0.230540,0.087779
0.015224,0.229330,0.087316
0.015140,0.228127,0.086857
0.015057,0.226930,0.086399
0.014975,0.225739,0.085944
0.014893,0.224554,0.085492
0.014811,0.223376,0.085041
0.014730,0.222204,0.084593
0.014649,0.221038,0.084148
0.014569,0.219878,0.083705
0.014489,0.218724,0.083264
0.014410,0.217576,0.082826
0.014331,0.216434,0.082389
0.014253,0.215299,0.081956
0.014175,0.214169,0.081524
0.014097,0.213045,0.081095
0.014020,0.211927,0.080668
0.013943,0.210815,0.080243
0.013867,0.209709,0.079820
0.013791,0.208608,0.079400
0.013716,0.207513,0.078982
0.013641,0.206424,0.078566
0.013567,0.205341,0.078153
0.013492,0.204263,0.077741
0.013419,0.203192,0.077332
0.013345,0.202125,0.076925
0.013273,0.201065,0.076520
0.013200,0.200009,0.076117
0.013128,0.198960,0.075716
0.013057,0.197916,0.075318
0.012985,0.196877,0.074921
0.012915,0.195844,0.074527
0.012844,0.194816,0.074134
0.012774,0.193794,0.073744
0.012704,0.192777,0.073356
0.012635,0.191765,0.072970
0.012566,0.190759,0.072586
0.012498,0.189758,0.072204
0.012430,0.188762,0.071824
0.012362,0.187771,0.071445
0.012295,0.186786,0.071069
0.012228,0.185806,0.070695
0.012161,0.184831,0.070323
0.012095,0.183861,0.069953
0.012030,0.182896,0.069585
0.011964,0.181936,0.069219
0.011899,0.180981,0.068854
0.011834,0.180031,0.068492
