ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
-0.002411,0.157441,-1.968352
-0.002448,0.157450,-1.968351
-0.002484,0.157459,-1.968351
-0.002521,0.157467,-1.968350
-0.002557,0.157476,-1.968349
-0.002593,0.157485,-1.968348
-0.002628,0.157493,-1.968348
-0.002664,0.157502,-1.968347
-0.002699,0.157510,-1.968346
-0.002734,0.157519,-1.968345
-0.002769,0.157527,-1.968345
-0.002804,0.157535,-1.968344
-0.002839,0.157544,-1.968343
-0.002873,0.157552,-1.968343
-0.002908,0.157560,-1.968342
-0.002942,0.157568,-1.968341
-0.002976,0.157576,-1.968341
-0.003009,0.157584,-1.968340
-0.003043,0.157592,-1.968339
-0.003076,0.157600,-1.968338
-0.003109,0.157608,-1.968338
-0.003142,0.157616,-1.968337
-0.003175,0.157624,-1.968336
-0.003208,0.157632,-1.968336
-0.003240,0.157640,-1.968335
-0.003273,0.157647,-1.968334
-0.003305,0.157655,-1.968334
-0.003337,0.157663,-1.968333
-0.003369,0.157670,-1.968332
-0.003400,0.157678,-1.968332
-0.003432,0.157686,-1.968331
-0.003463,0.157693,-1.968330
-0.003494,0.157701,-1.968330
-0.003525,0.157708,-1.968329
-0.003556,0.157715,-1.968328
-0.003587,0.157723,-1.968328
-0.003617,0.157730,-1.968327
-0.003648,0.157737,-1.968326
-0.003678,0.157744,-1.968326
-0.003708,0.157752,-1.968325
-0.003738,0.157759,-1.968325
-0.003768,0.157766,-1.968324
-0.003797,0.157773,-1.968323
-0.003827,0.157780,-1.968323
-0.003856,0.157787,-1.968322
-0.003885,0.157794,-1.968321
-0.003914,0.157801,-1.968321
-0.003943,0.157808,-1.968320
-0.003971,0.157815,-1.968320
-0.004000,0.157821,-1.968319
-0.004028,0.157828,-1.968318
-0.004056,0.157835,-1.968318
-0.004084,0.157842,-1.968317
-0.004112,0.157848,-1.968317
-0.004140,0.157855,-1.968316
-0.004168,0.157861,-1.968315
-0.004195,0.157868,-1.968315
-0.004222,0.157875,-1.968314
-0.004250,0.157881,-1.968314
-0.004277,0.157888,-1.968313
-0.004304,0.157894,-1.968313
-0.004330,0.157900,-1.968312
-0.004357,0.157907,-1.968311
-0.004383,0.157913,-1.968311
-0.004410,0.157919,-1.968310
-0.004436,0.157926,-1.968310
-0.004462,0.157932,-1.968309
-0.004488,0.157938,-1.968309
-0.004514,0.157944,-1.968308
-0.004539,0.157950,-1.968308
-0.004565,0.157956,-1.968307
-0.004590,0.157962,-1.968306
-0.004615,0.157968,-1.968306
-0.004641,0.157974,-1.968305
-0.004666,0.157980,-1.968305
-0.004690,0.157986,-1.968304
-0.004715,0.157992,-1.968304
-0.004740,0.157998,-1.968303
-0.004764,0.158004,-1.968303
-0.004789,0.158010,-1.968302
-0.004813,0.158016,-1.968302
-0.004837,0.158021,-1.968301
-0.004861,0.158027,-1.968301
-0.004885,0.158033,-1.968300
-0.004908,0.158038,-1.968300
-0.004932,0.158044,-1.968299
-0.004955,0.158050,-1.968299
-0.004979,0.158055,-1.968298
-0.005002,0.158061,-1.968298
-0.005025,0.158066,-1.968297
-0.005048,0.158072,-1.968297
-0.005071,0.158077,-1.968296
-0.005094,0.158082,-1.968296
-0.005116,0.158088,-1.968295
-0.005139,0.158093,-1.968295
-0.005161,0.158099,-1.968294
-0.005183,0.158104,-1.968294
-0.005205,0.158109,-1.968293
-0.005227,0.158114,-1.968293
-0.005249,0.158120,-1.968292
-0.005271,0.158125,-1.968292
-0.005293,0.158130,-1.968291
-0.005314,0.158135,-1.968291
-0.005336,0.158140,-1.968290
-0.005357,0.158145,-1.968290
-0.005378,0.158150,-1.968289
-0.005399,0.158155,-1.968289
-0.005421,0.158160,-1.968288
-0.005441,0.158165,-1.968288
-0.005462,0.158170,-1.968288
-0.005483,0.158175,-1.968287
-0.005503,0.158180,-1.968287
-0.005524,0.158185,-1.968286
-0.005544,0.158190,-1.968286
-0.005564,0.158195,-1.968285
-0.005585,0.158200,-1.968285
-0.005605,0.158204,-1.968284
-0.005625,0.158209,-1.968284
-0.005644,0.158214,-1.968284
-0.005664,0.158218,-1.968283
-0.005684,0.158223,-1.968283
-0.005703,0.158228,-1.968282
-0.005723,0.158232,-1.968282
-0.005742,0.158237,-1.968281
-0.005761,0.158242,-1.968281
-0.005780,0.158246,-1.968281
-0.005799,0.158251,-1.968280
-0.005818,0.158255,-1.968280
-0.005837,0.158260,-1.968279
-0.005856,0.158264,-1.968279
-0.005874,0.158268,-1.968278
-0.005893,0.158273,-1.968278
-0.005911,0.158277,-1.968278
-0.005930,0.158282,-1.968277
-0.005948,0.158286,-1.968277
-0.005966,0.158290,-1.968276
-0.005984,0.158295,-1.968276
-0.006002,0.158299,-1.968276
-0.006020,0.158303,-1.968275
-0.006037,0.158307,-1.968275
-0.006055,0.158312,-1.968274
-0.006073,0.158316,-1.968274
-0.006090,0.158320,-1.968274
-0.006108,0.158324,-1.968273
-0.006125,0.158328,-1.968273
-0.006142,0.158332,-1.968273
-0.006159,0.158336,-1.968272
-0.006176,0.158340,-1.968272
-0.006193,0.158344,-1.968271
-0.006210,0.158348,-1.968271
-0.006227,0.158352,-1.968271
-0.006243,0.158356,-1.968270
-0.006260,0.158360,-1.968270
-0.006276,0.158364,-1.968270
-0.006293,0.158368,-1.968269
-0.006309,0.158372,-1.968269
-0.006325,0.158376,-1.968268
-0.006341,0.158380,-1.968268
-0.006358,0.158383,-1.968268
-0.006373,0.158387,-1.968267
-0.006389,0.158391,-1.968267
-0.006405,0.158395,-1.968267
-0.006421,0.158399,-1.968266
-0.006437,0.158402,-1.968266
-0.006452,0.158406,-1.968266
-0.006468,0.158410,-1.968265
-0.006483,0.158413,-1.968265
-0.006498,0.158417,-1.968265
-0.006514,0.158421,-1.968264
-0.006529,0.158424,-1.968264
-0.006544,0.158428,-1.968264
-0.006559,0.158431,-1.968263
-0.006574,0.158435,-1.968263
-0.006589,0.158438,-1.968263
-0.006603,0.158442,-1.968262
-0.006618,0.158445,-1.968262
-0.006633,0.158449,-1.968262
-0.006647,0.158452,-1.968261
-0.006662,0.158456,-1.968261
-0.006676,0.158459,-1.968261
-0.006690,0.158463,-1.968260
-0.006704,0.158466,-1.968260
-0.006719,0.158469,-1.968260
-0.006733,0.158473,-1.968259
-0.006747,0.158476,-1.968259
-0.006761,0.158479,-1.968259
-0.006775,0.158483,-1.968258
-0.006788,0.158486,-1.968258
-0.006802,0.158489,-1.968258
-0.006816,0.158492,-1.968257
-0.006829,0.158496,-1.968257
-0.006843,0.158499,-1.968257
-0.006856,0.158502,-1.968256
-0.006870,0.158505,-1.968256
-0.006883,0.158508,-1.968256
-0.006896,0.158511,-1.968256
-0.006909,0.158515,-1.968255
-0.006922,0.158518,-1.968255
-0.006935,0.158521,-1.968255
-0.006948,0.158524,-1.968254
-0.006961,0.158527,-1.968254
-0.006974,0.158530,-1.968254
-0.006987,0.158533,-1.968254
-0.006999,0.158536,-1.968253
-0.007012,0.158539,-1.968253
-0.007024,0.158542,-1.968253
-0.007037,0.158545,-1.968252
-0.007049,0.158548,-1.968252
-0.007062,0.158551,-1.968252
-0.007074,0.158554,-1.968252
-0.007086,0.158557,-1.968251
-0.007098,0.158560,-1.968251
-0.007110,0.158562,-1.968251
-0.007122,0.158565,-1.968250
-0.007134,0.158568,-1.968250
-0.007146,0.158571,-1.968250
-0.007158,0.158574,-1.968250
-0.007170,0.158577,-1.968249
-0.007182,0.158579,-1.968249
-0.007193,0.158582,-1.968249
-0.007205,0.158585,-1.968249
-0.007216,0.158588,-1.968248
-0.007228,0.158590,-1.968248
-0.007239,0.158593,-1.968248
-0.007251,0.158596,-1.968248
-0.007262,0.158598,-1.968247
-0.007273,0.158601,-1.968247
-0.007284,0.158604,-1.968247
