ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
2.090927,4.209763,1.234605
2.092503,4.212936,1.235535
2.094071,4.216093,1.236461
2.095631,4.219233,1.237382
2.097182,4.222357,1.238298
2.098726,4.225464,1.239209
2.100261,4.228555,1.240116
2.101788,4.231630,1.241018
2.103307,4.234689,1.241915
2.104818,4.237731,1.242807
2.106322,4.240758,1.243695
2.107817,4.243768,1.244578
2.109305,4.246763,1.245456
2.110784,4.249743,1.246330
2.112256,4.252706,1.247199
2.113720,4.255654,1.248063
2.115177,4.258587,1.248923
2.116626,4.261504,1.249779
2.118067,4.264406,1.250630
2.119501,4.267292,1.251476
2.120927,4.270164,1.252318
2.122346,4.273020,1.253156
2.123757,4.275861,1.253989
2.125161,4.278688,1.254818
2.126557,4.281499,1.255643
2.127947,4.284296,1.256463
2.129328,4.287078,1.257279
2.130703,4.289846,1.258091
2.132070,4.292599,1.258898
2.133431,4.295337,1.259701
2.134784,4.298062,1.260500
2.136130,4.300772,1.261295
2.137468,4.303467,1.262085
2.138800,4.306149,1.262872
2.140125,4.308816,1.263654
2.141443,4.311470,1.264432
2.142754,4.314109,1.265206
2.144058,4.316735,1.265976
2.145356,4.319347,1.266742
2.146646,4.321945,1.267504
2.147930,4.324529,1.268262
2.149207,4.327100,1.269016
2.150477,4.329658,1.269766
2.151741,4.332202,1.270513
2.152998,4.334733,1.271255
2.154248,4.337250,1.271993
2.155492,4.339754,1.272727
2.156729,4.342245,1.273458
2.157960,4.344723,1.274185
2.159184,4.347188,1.274908
2.160402,4.349640,1.275627
2.161613,4.352079,1.276342
2.162819,4.354506,1.277054
2.164017,4.356919,1.277761
2.165210,4.359320,1.278466
2.166396,4.361708,1.279166
2.167576,4.364084,1.279863
2.168750,4.366448,1.280556
2.169918,4.368799,1.281245
2.171079,4.371137,1.281931
2.172235,4.373463,1.282613
2.173384,4.375777,1.283292
2.174527,4.378079,1.283967
2.175665,4.380369,1.284639
2.176796,4.382647,1.285307
2.177921,4.384913,1.285971
2.179041,4.387167,1.286632
2.180155,4.389409,1.287290
2.181262,4.391640,1.287944
2.182364,4.393858,1.288595
2.183461,4.396065,1.289242
2.184551,4.398261,1.289886
2.185636,4.400445,1.290526
2.186715,4.402617,1.291163
2.187788,4.404778,1.291797
2.188856,4.406928,1.292428
2.189918,4.409066,1.293055
2.190975,4.411194,1.293679
2.192026,4.413310,1.294299
2.193071,4.415414,1.294916
2.194111,4.417508,1.295531
2.195146,4.419591,1.296141
2.196175,4.421663,1.296749
2.197198,4.423724,1.297353
2.198217,4.425775,1.297955
2.199230,4.427814,1.298553
2.200237,4.429843,1.299148
2.201240,4.431861,1.299740
2.202237,4.433868,1.300328
2.203229,4.435866,1.300914
2.204215,4.437852,1.301497
2.205197,4.439828,1.302076
2.206173,4.441794,1.302653
2.207145,4.443749,1.303226
2.208111,4.445694,1.303797
2.209072,4.447629,1.304364
2.210028,4.449554,1.304929
2.210979,4.451469,1.305490
2.211925,4.453373,1.306049
2.212866,4.455268,1.306604
2.213802,4.457153,1.307157
2.214733,4.459027,1.307707
2.215659,4.460892,1.308254
2.216581,4.462748,1.308798
2.217497,4.464593,1.309339
2.218409,4.466429,1.309877
2.219316,4.468255,1.310413
2.220218,4.470071,1.310946
2.221116,4.471878,1.311476
2.222009,4.473676,1.312003
2.222897,4.475464,1.312527
2.223780,4.477242,1.313049
2.224659,4.479012,1.313568
2.225533,4.480772,1.314084
2.226403,4.482523,1.314597
2.227268,4.484264,1.315108
2.228128,4.485997,1.315616
2.228984,4.487720,1.316122
2.229836,4.489434,1.316624
2.230683,4.491140,1.317125
2.231525,4.492836,1.317622
2.232363,4.494524,1.318117
2.233197,4.496202,1.318609
2.234026,4.497872,1.319099
2.234851,4.499533,1.319586
2.235672,4.501185,1.320071
2.236489,4.502829,1.320553
2.237301,4.504464,1.321032
2.238108,4.506090,1.321509
2.238912,4.507708,1.321984
2.239711,4.509318,1.322456
2.240507,4.510919,1.322925
2.241298,4.512511,1.323392
2.242084,4.514095,1.323857
2.242867,4.515671,1.324319
2.243646,4.517239,1.324779
2.244420,4.518798,1.325236
2.245191,4.520349,1.325691
2.245957,4.521892,1.326143
2.246719,4.523427,1.326594
2.247478,4.524954,1.327041
2.248232,4.526473,1.327487
2.248983,4.527984,1.327930
2.249729,4.529487,1.328371
2.250472,4.530982,1.328809
2.251210,4.532469,1.329245
2.251945,4.533949,1.329679
2.252676,4.535420,1.330111
2.253403,4.536884,1.330540
2.254127,4.538341,1.330967
2.254846,4.539789,1.331392
2.255562,4.541230,1.331815
2.256274,4.542664,1.332235
2.256982,4.544090,1.332653
2.257687,4.545508,1.333069
2.258387,4.546919,1.333483
2.259085,4.548322,1.333895
2.259778,4.549719,1.334304
2.260468,4.551108,1.334711
2.261154,4.552489,1.335117
2.261837,4.553863,1.335520
2.262516,4.555231,1.335921
2.263191,4.556591,1.336319
2.263863,4.557943,1.336716
2.264531,4.559289,1.337111
2.265196,4.560628,1.337503
2.265858,4.561959,1.337894
2.266516,4.563284,1.338282
2.267170,4.564602,1.338669
2.267821,4.565912,1.339053
2.268469,4.567216,1.339436
2.269113,4.568513,1.339816
2.269754,4.569803,1.340194
2.270391,4.571087,1.340571
2.271025,4.572364,1.340945
2.271656,4.573634,1.341318
2.272284,4.574897,1.341688
2.272908,4.576154,1.342057
2.273529,4.577404,1.342423
2.274146,4.578647,1.342788
2.274761,4.579884,1.343151
2.275372,4.581115,1.343512
2.275980,4.582339,1.343871
2.276585,4.583557,1.344228
2.277186,4.584768,1.344583
2.277785,4.585973,1.344936
2.278380,4.587171,1.345288
2.278972,4.588364,1.345638
2.279561,4.589550,1.345985
2.280147,4.590729,1.346331
2.280730,4.591903,1.346676
2.281310,4.593070,1.347018
2.281887,4.594232,1.347358
2.282461,4.595387,1.347697
2.283031,4.596536,1.348034
2.283599,4.597679,1.348370
2.284164,4.598816,1.348703
2.284726,4.599947,1.349035
2.285285,4.601073,1.349365
2.285841,4.602192,1.349693
2.286394,4.603305,1.350020
2.286944,4.604413,1.350344
2.287491,4.605515,1.350667
2.288035,4.606611,1.350989
2.288577,4.607701,1.351309
2.289116,4.608785,1.351627
2.289651,4.609864,1.351943
2.290184,4.610937,1.352258
2.290715,4.612005,1.352571
2.291242,4.613067,1.352882
2.291767,4.614123,1.353192
2.292289,4.615174,1.353500
2.292808,4.616219,1.353807
2.293324,4.617259,1.354112
2.293838,4.618293,1.354415
2.294349,4.619322,1.354717
2.294857,4.620346,1.355017
2.295363,4.621364,1.355316
2.295866,4.622377,1.355613
2.296367,4.623384,1.355908
2.296864,4.624386,1.356202
2.297359,4.625383,1.356494
2.297852,4.626375,1.356785
2.298342,4.627361,1.357075
2.298829,4.628343,1.357362
2.299314,4.629319,1.357649
2.299797,4.630290,1.357933
2.300276,4.631256,1.358217
2.300754,4.632217,1.358498
2.301228,4.633173,1.358779
2.301701,4.634123,1.359058
2.302170,4.635069,1.359335
2.302638,4.636010,1.359611
2.303102,4.636946,1.359885
2.303565,4.637877,1.360158
2.304025,4.638803,1.360430
2.304482,4.639724,1.360700
2.304938,4.640641,1.360969
2.305390,4.641552,1.361236
2.305841,4.642459,1.361502
2.306289,4.643361,1.361767
2.306734,4.644258,1.362030
2.307178,4.645151,1.362292
2.307619,4.646039,1.362552
2.308058,4.646922,1.362811
2.308494,4.647801,1.363069
2.308928,4.648675,1.363325
2.309360,4.649544,1.363580
2.309789,4.650409,1.363834
2.310217,4.651269,1.364086
2.310642,4.652125,1.364337
2.311065,4.652977,1.364587
2.311485,4.653823,1.364835
2.311904,4.654666,1.365082
2.312320,4.655504,1.365328
2.312734,4.656337,1.365572
2.313146,4.657167,1.365816
2.313555,4.657991,1.366057
2.313963,4.658812,1.366298
2.314368,4.659628,1.366537
2.314772,4.660440,1.366776
2.315173,4.661248,1.367012
2.315572,4.662051,1.367248
2.315969,4.662850,1.367482
2.316364,4.663645,1.367716
2.316756,4.664436,1.367948
2.317147,4.665223,1.368178
2.317536,4.666005,1.368408
2.317923,4.666784,1.368636
2.318307,4.667558,1.368863
2.318690,4.668329,1.369089
2.319070,4.669095,1.369314
2.319449,4.669857,1.369537
2.319826,4.670615,1.369760
2.320200,4.671370,1.369981
2.320573,4.672120,1.370201
2.320944,4.672866,1.370420
2.321312,4.673609,1.370638
2.321679,4.674347,1.370854
2.322044,4.675082,1.371070
2.322407,4.675813,1.371284
2.322768,4.676540,1.371497
2.323127,4.677263,1.371709
2.323485,4.677982,1.371920
2.323840,4.678698,1.372130
2.324194,4.679410,1.372339
2.324545,4.680118,1.372546
2.324895,4.680822,1.372753
2.325243,4.681523,1.372958
2.325589,4.682220,1.373163
2.325934,4.682913,1.373366
2.326276,4.683603,1.373568
2.326617,4.684289,1.373770
2.326956,4.684971,1.373970
2.327293,4.685650,1.374169
2.327629,4.686325,1.374367
2.327962,4.686997,1.374564
2.328294,4.687666,1.374760
2.328624,4.688330,1.374955
2.328953,4.688992,1.375149
2.329279,4.689649,1.375342
2.329604,4.690304,1.375534
2.329928,4.690955,1.375725
2.330249,4.691602,1.375914
2.330569,4.692246,1.376103
2.330887,4.692887,1.376291
2.331204,4.693524,1.376478
2.331519,4.694158,1.376664
2.331832,4.694789,1.376849
2.332144,4.695416,1.377033
2.332454,4.696040,1.377216
2.332762,4.696661,1.377398
2.333069,4.697279,1.377579
2.333374,4.697893,1.377759
2.333677,4.698504,1.377939
2.333979,4.699112,1.378117
2.334280,4.699716,1.378294
2.334578,4.700318,1.378471
2.334876,4.700916,1.378646
2.335171,4.701511,1.378821
2.335465,4.702104,1.378994
2.335758,4.702692,1.379167
2.336049,4.703278,1.379339
2.336338,4.703861,1.379510
2.336626,4.704441,1.379680
2.336913,4.705018,1.379849
2.337198,4.705591,1.380017
2.337481,4.706162,1.380184
2.337763,4.706730,1.380351
2.338043,4.707294,1.380517
2.338322,4.707856,1.380681
2.338600,4.708415,1.380845
2.338876,4.708971,1.381008
2.339151,4.709523,1.381170
2.339424,4.710073,1.381332
2.339696,4.710621,1.381492
2.339966,4.711165,1.381652
2.340235,4.711706,1.381810
2.340502,4.712245,1.381968
2.340768,4.712781,1.382126
2.341033,4.713313,1.382282
2.341296,4.713844,1.382437
2.341558,4.714371,1.382592
2.341819,4.714895,1.382746
2.342078,4.715417,1.382899
2.342336,4.715936,1.383051
2.342592,4.716453,1.383202
2.342847,4.716966,1.383353
2.343101,4.717477,1.383503
2.343354,4.717986,1.383652
2.343605,4.718491,1.383800
2.343855,4.718994,1.383948
2.344103,4.719494,1.384094
2.344350,4.719992,1.384240
2.344596,4.720487,1.384386
2.344841,4.720980,1.384530
2.345084,4.721469,1.384674
2.345326,4.721957,1.384817
2.345567,4.722441,1.384959
2.345806,4.722924,1.385100
2.346045,4.723403,1.385241
2.346282,4.723880,1.385381
2.346517,4.724355,1.385520
