ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.705998,-0.030016,-9.754834
0.706173,-0.030024,-9.754821
0.706347,-0.030032,-9.754808
0.706520,-0.030039,-9.754795
0.706692,-0.030047,-9.754782
0.706863,-0.030054,-9.754769
0.707034,-0.030062,-9.754756
0.707203,-0.030069,-9.754744
0.707372,-0.030077,-9.754731
0.707540,-0.030084,-9.754719
0.707706,-0.030091,-9.754706
0.707872,-0.030098,-9.754694
0.708037,-0.030106,-9.754681
0.708202,-0.030113,-9.754669
0.708365,-0.030120,-9.754657
0.708528,-0.030127,-9.754644
0.708689,-0.030134,-9.754632
0.708850,-0.030141,-9.754620
0.709010,-0.030148,-9.754608
0.709169,-0.030155,-9.754596
0.709327,-0.030162,-9.754584
0.709485,-0.030169,-9.754572
0.709641,-0.030176,-9.754561
0.709797,-0.030183,-9.754549
0.709952,-0.030190,-9.754537
0.710106,-0.030196,-9.754526
0.710260,-0.030203,-9.754514
0.710412,-0.030210,-9.754503
0.710564,-0.030217,-9.754491
0.710715,-0.030223,-9.754480
0.710865,-0.030230,-9.754469
0.711015,-0.030236,-9.754457
0.711163,-0.030243,-9.754446
0.711311,-0.030249,-9.754435
0.711458,-0.030256,-9.754424
0.711604,-0.030262,-9.754413
0.711750,-0.030269,-9.754402
0.711894,-0.030275,-9.754391
0.712038,-0.030281,-9.754380
0.712182,-0.030287,-9.754369
0.712324,-0.030294,-9.754359
0.712466,-0.030300,-9.754348
0.712607,-0.030306,-9.754337
0.712747,-0.030312,-9.754327
0.712887,-0.030318,-9.754316
0.713025,-0.030324,-9.754306
0.713163,-0.030330,-9.754295
0.713301,-0.030336,-9.754285
0.713437,-0.030342,-9.754275
0.713573,-0.030348,-9.754264
0.713708,-0.030354,-9.754254
0.713843,-0.030360,-9.754244
0.713976,-0.030366,-9.754234
0.714110,-0.030372,-9.754224
0.714242,-0.030378,-9.754214
0.714374,-0.030383,-9.754204
0.714504,-0.030389,-9.754194
0.714635,-0.030395,-9.754184
0.714764,-0.030401,-9.754174
0.714893,-0.030406,-9.754164
0.715021,-0.030412,-9.754155
0.715149,-0.030417,-9.754145
0.715276,-0.030423,-9.754135
0.715402,-0.030429,-9.754126
0.715528,-0.030434,-9.754116
0.715653,-0.030439,-9.754107
0.715777,-0.030445,-9.754098
0.715900,-0.030450,-9.754088
0.716023,-0.030456,-9.754079
0.716146,-0.030461,-9.754070
0.716267,-0.030466,-9.754060
0.716388,-0.030472,-9.754051
0.716509,-0.030477,-9.754042
0.716628,-0.030482,-9.754033
0.716748,-0.030487,-9.754024
0.716866,-0.030493,-9.754015
0.716984,-0.030498,-9.754006
0.717101,-0.030503,-9.753997
0.717218,-0.030508,-9.753988
0.717334,-0.030513,-9.753980
0.717449,-0.030518,-9.753971
0.717564,-0.030523,-9.753962
0.717678,-0.030528,-9.753953
0.717792,-0.030533,-9.753945
0.717905,-0.030538,-9.753936
0.718017,-0.030543,-9.753928
0.718129,-0.030548,-9.753919
0.718240,-0.030553,-9.753911
0.718351,-0.030558,-9.753902
0.718461,-0.030562,-9.753894
0.718571,-0.030567,-9.753886
0.718680,-0.030572,-9.753877
0.718788,-0.030577,-9.753869
0.718896,-0.030581,-9.753861
0.719003,-0.030586,-9.753853
0.719110,-0.030591,-9.753845
0.719216,-0.030595,-9.753837
0.719321,-0.030600,-9.753829
0.719426,-0.030605,-9.753821
0.719531,-0.030609,-9.753813
0.719635,-0.030614,-9.753805
0.719738,-0.030618,-9.753797
0.719841,-0.030623,-9.753789
0.719943,-0.030627,-9.753781
0.720045,-0.030632,-9.753774
0.720146,-0.030636,-9.753766
0.720246,-0.030641,-9.753758
0.720347,-0.030645,-9.753751
0.720446,-0.030649,-9.753743
0.720545,-0.030654,-9.753735
0.720644,-0.030658,-9.753728
0.720742,-0.030662,-9.753721
0.720839,-0.030666,-9.753713
0.720936,-0.030671,-9.753706
0.721033,-0.030675,-9.753698
0.721129,-0.030679,-9.753691
0.721224,-0.030683,-9.753684
0.721319,-0.030687,-9.753677
0.721414,-0.030692,-9.753669
0.721508,-0.030696,-9.753662
0.721601,-0.030700,-9.753655
0.721694,-0.030704,-9.753648
0.721787,-0.030708,-9.753641
0.721879,-0.030712,-9.753634
0.721971,-0.030716,-9.753627
0.722062,-0.030720,-9.753620
0.722152,-0.030724,-9.753613
0.722242,-0.030728,-9.753606
0.722332,-0.030732,-9.753599
0.722421,-0.030736,-9.753593
0.722510,-0.030739,-9.753586
0.722598,-0.030743,-9.753579
0.722686,-0.030747,-9.753572
0.722773,-0.030751,-9.753566
0.722860,-0.030755,-9.753559
0.722946,-0.030759,-9.753552
0.723032,-0.030762,-9.753546
0.723118,-0.030766,-9.753539
0.723203,-0.030770,-9.753533
0.723288,-0.030773,-9.753526
0.723372,-0.030777,-9.753520
0.723455,-0.030781,-9.753514
0.723539,-0.030784,-9.753507
0.723622,-0.030788,-9.753501
0.723704,-0.030792,-9.753495
0.723786,-0.030795,-9.753488
0.723867,-0.030799,-9.753482
0.723949,-0.030802,-9.753476
0.724029,-0.030806,-9.753470
0.724110,-0.030809,-9.753464
0.724189,-0.030813,-9.753457
0.724269,-0.030816,-9.753451
0.724348,-0.030820,-9.753445
0.724426,-0.030823,-9.753439
0.724505,-0.030827,-9.753433
0.724582,-0.030830,-9.753427
0.724660,-0.030833,-9.753421
0.724737,-0.030837,-9.753416
0.724813,-0.030840,-9.753410
0.724889,-0.030843,-9.753404
0.724965,-0.030847,-9.753398
0.725041,-0.030850,-9.753392
0.725115,-0.030853,-9.753387
0.725190,-0.030857,-9.753381
0.725264,-0.030860,-9.753375
0.725338,-0.030863,-9.753370
0.725411,-0.030866,-9.753364
0.725484,-0.030869,-9.753358
0.725557,-0.030873,-9.753353
0.725629,-0.030876,-9.753347
0.725701,-0.030879,-9.753342
0.725773,-0.030882,-9.753336
0.725844,-0.030885,-9.753331
0.725914,-0.030888,-9.753325
0.725985,-0.030891,-9.753320
0.726055,-0.030894,-9.753315
0.726124,-0.030897,-9.753309
0.726194,-0.030900,-9.753304
0.726263,-0.030903,-9.753299
0.726331,-0.030906,-9.753294
0.726399,-0.030909,-9.753288
0.726467,-0.030912,-9.753283
0.726535,-0.030915,-9.753278
0.726602,-0.030918,-9.753273
0.726669,-0.030921,-9.753268
0.726735,-0.030924,-9.753263
0.726801,-0.030927,-9.753258
0.726867,-0.030930,-9.753252
0.726932,-0.030933,-9.753247
0.726997,-0.030935,-9.753242
0.727062,-0.030938,-9.753238
0.727126,-0.030941,-9.753233
0.727190,-0.030944,-9.753228
0.727254,-0.030947,-9.753223
0.727317,-0.030949,-9.753218
0.727380,-0.030952,-9.753213
0.727443,-0.030955,-9.753208
0.727505,-0.030958,-9.753203
0.727567,-0.030960,-9.753199
