ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.550943,1.145605,-7.194663
6378137.552073,1.148376,-7.212916
6378137.553204,1.151148,-7.231168
6378137.554335,1.153920,-7.249420
6378137.555465,1.156693,-7.267673
6378137.556596,1.159466,-7.285925
6378137.557726,1.162240,-7.304177
6378137.558856,1.165014,-7.322429
6378137.559987,1.167789,-7.340681
6378137.561117,1.170564,-7.358933
6378137.562247,1.173339,-7.377185
6378137.563377,1.176115,-7.395437
6378137.564508,1.178891,-7.413688
6378137.565638,1.181668,-7.431940
6378137.566768,1.184446,-7.450192
6378137.567898,1.187223,-7.468443
6378137.569028,1.190001,-7.486695
6378137.570158,1.192780,-7.504946
6378137.571288,1.195559,-7.523198
6378137.572417,1.198338,-7.541449
6378137.573547,1.201118,-7.559700
6378137.574677,1.203899,-7.577951
6378137.575807,1.206679,-7.596202
6378137.576936,1.209460,-7.614453
6378137.578066,1.212242,-7.632704
6378137.579196,1.215024,-7.650955
6378137.580325,1.217806,-7.669206
6378137.581455,1.220589,-7.687457
6378137.582584,1.223372,-7.705708
6378137.583714,1.226156,-7.723958
6378137.584843,1.228940,-7.742209
6378137.585972,1.231725,-7.760460
6378137.587102,1.234509,-7.778710
6378137.588231,1.237295,-7.796961
6378137.589360,1.240080,-7.815211
6378137.590489,1.242866,-7.833461
6378137.591619,1.245653,-7.851712
6378137.592748,1.248440,-7.869962
6378137.593877,1.251227,-7.888212
6378137.595006,1.254014,-7.906462
6378137.596135,1.256802,-7.924712
6378137.597264,1.259591,-7.942962
6378137.598393,1.262379,-7.961212
6378137.599522,1.265169,-7.979462
6378137.600651,1.267958,-7.997712
6378137.601779,1.270748,-8.015962
6378137.602908,1.273538,-8.034211
6378137.604037,1.276329,-8.052461
6378137.605166,1.279120,-8.070711
6378137.606294,1.281911,-8.088960
6378137.607423,1.284703,-8.107210
6378137.608551,1.287495,-8.125459
6378137.609680,1.290287,-8.143708
6378137.610809,1.293080,-8.161958
6378137.611937,1.295873,-8.180207
6378137.613066,1.298667,-8.198456
6378137.614194,1.301461,-8.216705
6378137.615322,1.304255,-8.234955
6378137.616451,1.307049,-8.253204
6378137.617579,1.309844,-8.271453
6378137.618707,1.312640,-8.289702
6378137.619836,1.315435,-8.307951
6378137.620964,1.318231,-8.326199
6378137.622092,1.321028,-8.344448
6378137.623220,1.323824,-8.362697
6378137.624348,1.326621,-8.380946
6378137.625476,1.329418,-8.399194
6378137.626604,1.332216,-8.417443
6378137.627732,1.335014,-8.435692
6378137.628860,1.337812,-8.453940
6378137.629988,1.340611,-8.472189
6378137.631116,1.343410,-8.490437
6378137.632244,1.346209,-8.508686
6378137.633372,1.349009,-8.526934
6378137.634500,1.351809,-8.545182
6378137.635627,1.354609,-8.563430
6378137.636755,1.357410,-8.581679
6378137.637883,1.360211,-8.599927
6378137.639011,1.363012,-8.618175
6378137.640138,1.365813,-8.636423
6378137.641266,1.368615,-8.654671
6378137.642394,1.371417,-8.672919
6378137.643521,1.374220,-8.691167
6378137.644649,1.377023,-8.709415
6378137.645776,1.379826,-8.727662
6378137.646904,1.382629,-8.745910
6378137.648031,1.385433,-8.764158
6378137.649158,1.388237,-8.782406
6378137.650286,1.391041,-8.800653
6378137.651413,1.393845,-8.818901
6378137.652541,1.396650,-8.837149
6378137.653668,1.399456,-8.855396
6378137.654795,1.402261,-8.873644
6378137.655922,1.405067,-8.891891
6378137.657050,1.407873,-8.910138
6378137.658177,1.410679,-8.928386
6378137.659304,1.413486,-8.946633
6378137.660431,1.416293,-8.964880
6378137.661558,1.419100,-8.983127
6378137.662685,1.421907,-9.001375
6378137.663812,1.424715,-9.019622
6378137.664939,1.427523,-9.037869
6378137.666066,1.430331,-9.056116
6378137.667193,1.433140,-9.074363
6378137.668320,1.435949,-9.092610
