ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.433727,0.006813,2.977206
1.434675,0.006817,2.979174
1.435618,0.006822,2.981132
1.436555,0.006826,2.983079
1.437488,0.006831,2.985016
1.438416,0.006835,2.986943
1.439339,0.006840,2.988860
1.440258,0.006844,2.990767
1.441171,0.006848,2.992664
1.442080,0.006853,2.994551
1.442984,0.006857,2.996428
1.443883,0.006861,2.998295
1.444777,0.006865,3.000152
1.445667,0.006870,3.002000
1.446552,0.006874,3.003838
1.447432,0.006878,3.005666
1.448308,0.006882,3.007484
1.449179,0.006886,3.009293
1.450046,0.006890,3.011093
1.450908,0.006894,3.012883
1.451765,0.006899,3.014664
1.452618,0.006903,3.016435
1.453467,0.006907,3.018197
1.454311,0.006911,3.019950
1.455151,0.006915,3.021694
1.455986,0.006919,3.023428
1.456817,0.006923,3.025154
1.457643,0.006926,3.026870
1.458466,0.006930,3.028577
1.459283,0.006934,3.030275
1.460097,0.006938,3.031965
1.460906,0.006942,3.033645
1.461711,0.006946,3.035317
1.462512,0.006950,3.036980
1.463309,0.006953,3.038634
1.464101,0.006957,3.040280
1.464890,0.006961,3.041917
1.465674,0.006965,3.043545
1.466454,0.006968,3.045165
1.467230,0.006972,3.046776
1.468002,0.006976,3.048379
1.468769,0.006979,3.049973
1.469533,0.006983,3.051559
1.470293,0.006987,3.053137
1.471049,0.006990,3.054706
1.471800,0.006994,3.056268
1.472548,0.006997,3.057821
1.473292,0.007001,3.059365
1.474032,0.007004,3.060902
1.474768,0.007008,3.062431
1.475501,0.007011,3.063951
1.476229,0.007015,3.065464
1.476954,0.007018,3.066969
1.477675,0.007022,3.068466
1.478392,0.007025,3.069955
1.479105,0.007028,3.071436
1.479814,0.007032,3.072909
1.480520,0.007035,3.074375
1.481222,0.007039,3.075833
1.481921,0.007042,3.077283
1.482615,0.007045,3.078726
1.483307,0.007048,3.080161
1.483994,0.007052,3.081588
1.484678,0.007055,3.083008
1.485358,0.007058,3.084421
1.486035,0.007061,3.085826
1.486708,0.007065,3.087224
1.487378,0.007068,3.088614
1.488044,0.007071,3.089998
1.488706,0.007074,3.091373
1.489365,0.007077,3.092742
1.490021,0.007080,3.094104
1.490673,0.007083,3.095458
1.491322,0.007087,3.096805
1.491968,0.007090,3.098145
1.492610,0.007093,3.099479
1.493248,0.007096,3.100805
1.493883,0.007099,3.102124
1.494515,0.007102,3.103436
1.495144,0.007105,3.104742
1.495769,0.007108,3.106040
1.496391,0.007111,3.107332
1.497010,0.007114,3.108617
1.497626,0.007116,3.109895
1.498238,0.007119,3.111166
1.498847,0.007122,3.112431
1.499453,0.007125,3.113689
1.500056,0.007128,3.114941
1.500655,0.007131,3.116186
1.501252,0.007134,3.117424
1.501845,0.007137,3.118656
1.502435,0.007139,3.119882
1.503022,0.007142,3.121101
1.503606,0.007145,3.122314
1.504187,0.007148,3.123520
1.504765,0.007150,3.124720
1.505340,0.007153,3.125913
1.505911,0.007156,3.127101
1.506480,0.007159,3.128282
1.507046,0.007161,3.129457
1.507609,0.007164,3.130626
1.508169,0.007167,3.131788
1.508726,0.007169,3.132945
1.509280,0.007172,3.134095
1.509831,0.007174,3.135240
1.510379,0.007177,3.136378
1.510925,0.007180,3.137511
1.511467,0.007182,3.138637
1.512007,0.007185,3.139758
1.512543,0.007187,3.140873
1.513077,0.007190,3.141981
1.513609,0.007192,3.143084
1.514137,0.007195,3.144182
1.514663,0.007197,3.145273
1.515186,0.007200,3.146359
1.515706,0.007202,3.147439
1.516223,0.007205,3.148513
1.516738,0.007207,3.149582
1.517250,0.007210,3.150645
1.517759,0.007212,3.151703
1.518266,0.007215,3.152755
1.518770,0.007217,3.153801
1.519271,0.007219,3.154842
1.519770,0.007222,3.155878
1.520266,0.007224,3.156908
1.520759,0.007226,3.157933
1.521250,0.007229,3.158952
1.521738,0.007231,3.159966
1.522224,0.007233,3.160975
1.522707,0.007236,3.161978
1.523188,0.007238,3.162976
1.523666,0.007240,3.163969
1.524142,0.007242,3.164956
1.524615,0.007245,3.165939
1.525085,0.007247,3.166916
1.525553,0.007249,3.167888
1.526019,0.007251,3.168855
1.526482,0.007254,3.169817
1.526943,0.007256,3.170774
1.527402,0.007258,3.171726
1.527858,0.007260,3.172673
1.528311,0.007262,3.173615
1.528762,0.007264,3.174552
1.529211,0.007267,3.175484
1.529658,0.007269,3.176411
1.530102,0.007271,3.177334
1.530544,0.007273,3.178251
1.530983,0.007275,3.179164
1.531420,0.007277,3.180071
1.531855,0.007279,3.180975
1.532288,0.007281,3.181873
1.532718,0.007283,3.182767
1.533146,0.007285,3.183656
1.533572,0.007287,3.184540
1.533996,0.007289,3.185419
1.534417,0.007291,3.186294
1.534836,0.007293,3.187165
1.535253,0.007295,3.188031
1.535668,0.007297,3.188892
1.536081,0.007299,3.189749
1.536491,0.007301,3.190601
1.536900,0.007303,3.191449
1.537306,0.007305,3.192292
1.537710,0.007307,3.193131
1.538112,0.007309,3.193966
1.538511,0.007311,3.194796
1.538909,0.007313,3.195622
1.539305,0.007315,3.196443
1.539698,0.007316,3.197260
1.540090,0.007318,3.198073
1.540479,0.007320,3.198882
1.540866,0.007322,3.199686
1.541252,0.007324,3.200486
1.541635,0.007326,3.201282
1.542016,0.007327,3.202074
1.542395,0.007329,3.202862
1.542773,0.007331,3.203645
1.543148,0.007333,3.204424
1.543521,0.007335,3.205200
1.543893,0.007336,3.205971
1.544262,0.007338,3.206738
1.544630,0.007340,3.207501
1.544995,0.007342,3.208260
1.545359,0.007343,3.209015
1.545721,0.007345,3.209767
1.546080,0.007347,3.210514
1.546438,0.007348,3.211257
1.546795,0.007350,3.211996
1.547149,0.007352,3.212732
1.547501,0.007353,3.213464
1.547852,0.007355,3.214191
1.548200,0.007357,3.214915
1.548547,0.007358,3.215636
1.548892,0.007360,3.216352
1.549235,0.007362,3.217065
1.549577,0.007363,3.217774
1.549916,0.007365,3.218479
1.550254,0.007367,3.219180
1.550590,0.007368,3.219878
1.550924,0.007370,3.220572
1.551257,0.007371,3.221263
1.551588,0.007373,3.221950
1.551917,0.007374,3.222633
1.552244,0.007376,3.223313
1.552570,0.007378,3.223989
1.552893,0.007379,3.224661
1.553216,0.007381,3.225330
1.553536,0.007382,3.225996
1.553855,0.007384,3.226658
1.554172,0.007385,3.227316
1.554488,0.007387,3.227971
1.554801,0.007388,3.228623
1.555114,0.007390,3.229271
1.555424,0.007391,3.229916
1.555733,0.007393,3.230558
1.556040,0.007394,3.231196
1.556346,0.007396,3.231830
1.556650,0.007397,3.232462
1.556952,0.007398,3.233090
1.557253,0.007400,3.233715
1.557553,0.007401,3.234336
1.557850,0.007403,3.234954
1.558146,0.007404,3.235569
1.558441,0.007405,3.236181
1.558734,0.007407,3.236790
1.559026,0.007408,3.237395
1.559316,0.007410,3.237997
1.559604,0.007411,3.238596
1.559891,0.007412,3.239192
1.560177,0.007414,3.239785
1.560460,0.007415,3.240375
1.560743,0.007416,3.240961
1.561024,0.007418,3.241545
1.561303,0.007419,3.242125
1.561581,0.007420,3.242702
1.561858,0.007422,3.243277
1.562133,0.007423,3.243848
1.562407,0.007424,3.244416
1.562679,0.007426,3.244982
1.562950,0.007427,3.245544
1.563219,0.007428,3.246103
1.563487,0.007429,3.246660
1.563754,0.007431,3.247213
1.564019,0.007432,3.247764
1.564283,0.007433,3.248312
1.564545,0.007434,3.248857
1.564806,0.007436,3.249399
1.565066,0.007437,3.249938
1.565324,0.007438,3.250474
1.565581,0.007439,3.251008
1.565837,0.007441,3.251539
1.566091,0.007442,3.252066
1.566344,0.007443,3.252592
1.566595,0.007444,3.253114
1.566846,0.007445,3.253634
1.567095,0.007447,3.254151
1.567342,0.007448,3.254665
1.567589,0.007449,3.255176
1.567834,0.007450,3.255685
1.568077,0.007451,3.256191
1.568320,0.007452,3.256695
1.568561,0.007454,3.257196
1.568801,0.007455,3.257694
1.569040,0.007456,3.258190
1.569277,0.007457,3.258683
1.569513,0.007458,3.259173
1.569748,0.007459,3.259661
1.569982,0.007460,3.260146
1.570214,0.007461,3.260629
1.570446,0.007463,3.261109
1.570676,0.007464,3.261587
1.570905,0.007465,3.262062
1.571132,0.007466,3.262535
1.571359,0.007467,3.263005
1.571584,0.007468,3.263473
1.571808,0.007469,3.263938
1.572031,0.007470,3.264401
1.572253,0.007471,3.264861
1.572473,0.007472,3.265319
1.572693,0.007473,3.265775
1.572911,0.007474,3.266228
1.573128,0.007475,3.266679
1.573344,0.007476,3.267128
1.573559,0.007477,3.267574
1.573772,0.007478,3.268017
1.573985,0.007479,3.268459
1.574196,0.007480,3.268898
1.574407,0.007481,3.269335
1.574616,0.007482,3.269769
1.574824,0.007483,3.270202
1.575031,0.007484,3.270632
1.575237,0.007485,3.271059
1.575442,0.007486,3.271485
1.575646,0.007487,3.271908
