ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-0.051782,0.423154,0.286076
-0.051531,0.420933,0.284571
-0.051281,0.418723,0.283073
-0.051033,0.416525,0.281584
-0.050785,0.414339,0.280102
-0.050539,0.412164,0.278628
-0.050293,0.410000,0.277162
-0.050049,0.407848,0.275703
-0.049806,0.405707,0.274252
-0.049564,0.403577,0.272809
-0.049323,0.401459,0.271374
-0.049083,0.399351,0.269946
-0.048844,0.397255,0.268525
-0.048606,0.395170,0.267112
-0.048369,0.393095,0.265707
-0.048133,0.391032,0.264309
-0.047898,0.388979,0.262918
-0.047665,0.386937,0.261535
-0.047432,0.384906,0.260158
-0.047201,0.382886,0.258790
-0.046970,0.380876,0.257428
-0.046740,0.378876,0.256074
-0.046512,0.376888,0.254726
-0.046284,0.374909,0.253386
-0.046058,0.372941,0.252053
-0.045833,0.370983,0.250727
-0.045608,0.369036,0.249408
-0.045385,0.367099,0.248096
-0.045162,0.365172,0.246790
-0.044941,0.363255,0.245492
-0.044720,0.361348,0.244201
-0.044501,0.359451,0.242916
-0.044283,0.357564,0.241638
-0.044065,0.355687,0.240367
-0.043849,0.353820,0.239102
-0.043633,0.351963,0.237845
-0.043419,0.350116,0.236593
-0.043205,0.348278,0.235349
-0.042992,0.346449,0.234111
-0.042781,0.344631,0.232879
-0.042570,0.342822,0.231654
-0.042361,0.341022,0.230436
-0.042152,0.339232,0.229224
-0.041944,0.337451,0.228018
-0.041737,0.335680,0.226818
-0.041531,0.333918,0.225625
-0.041326,0.332165,0.224439
-0.041122,0.330421,0.223258
-0.040919,0.328687,0.222084
-0.040717,0.326962,0.220916
-0.040516,0.325245,0.219754
-0.040316,0.323538,0.218598
-0.040116,0.321840,0.217448
-0.039918,0.320150,0.216304
-0.039721,0.318470,0.215167
-0.039524,0.316798,0.214035
-0.039328,0.315135,0.212909
-0.039133,0.313481,0.211789
-0.038940,0.311835,0.210676
-0.038747,0.310198,0.209568
-0.038554,0.308570,0.208465
-0.038363,0.306950,0.207369
-0.038173,0.305339,0.206278
-0.037983,0.303736,0.205194
-0.037795,0.302142,0.204114
-0.037607,0.300555,0.203041
-0.037420,0.298978,0.201973
-0.037234,0.297408,0.200911
