ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.021657,0.577362,-6.242412
6378137.021277,0.579027,-6.261494
6378137.020895,0.580693,-6.280576
6378137.020513,0.582359,-6.299658
6378137.020131,0.584026,-6.318739
6378137.019747,0.585693,-6.337821
6378137.019363,0.587361,-6.356903
6378137.018978,0.589029,-6.375985
6378137.018592,0.590697,-6.395066
6378137.018205,0.592366,-6.414148
6378137.017818,0.594035,-6.433229
6378137.017430,0.595704,-6.452311
6378137.017041,0.597374,-6.471392
6378137.016652,0.599044,-6.490474
6378137.016261,0.600715,-6.509555
6378137.015870,0.602386,-6.528636
6378137.015479,0.604058,-6.547718
6378137.015086,0.605730,-6.566799
6378137.014693,0.607402,-6.585880
6378137.014299,0.609074,-6.604961
6378137.013905,0.610747,-6.624042
6378137.013509,0.612421,-6.643123
6378137.013113,0.614095,-6.662204
6378137.012717,0.615769,-6.681285
6378137.012319,0.617443,-6.700366
6378137.011921,0.619118,-6.719447
6378137.011522,0.620793,-6.738528
6378137.011123,0.622469,-6.757608
6378137.010723,0.624145,-6.776689
6378137.010322,0.625821,-6.795770
6378137.009920,0.627498,-6.814850
6378137.009518,0.629175,-6.833931
6378137.009115,0.630852,-6.853011
6378137.008712,0.632530,-6.872092
6378137.008308,0.634208,-6.891172
6378137.007903,0.635886,-6.910253
6378137.007497,0.637565,-6.929333
6378137.007091,0.639244,-6.948413
6378137.006684,0.640924,-6.967493
6378137.006277,0.642603,-6.986574
6378137.005869,0.644284,-7.005654
6378137.005460,0.645964,-7.024734
6378137.005051,0.647645,-7.043814
6378137.004641,0.649326,-7.062894
6378137.004230,0.651008,-7.081974
6378137.003819,0.652689,-7.101054
6378137.003407,0.654371,-7.120134
6378137.002995,0.656054,-7.139214
6378137.002582,0.657737,-7.158293
6378137.002168,0.659420,-7.177373
6378137.001754,0.661103,-7.196453
6378137.001339,0.662787,-7.215533
6378137.000923,0.664471,-7.234612
6378137.000507,0.666155,-7.253692
6378137.000091,0.667840,-7.272771
6378136.999673,0.669525,-7.291851
6378136.999255,0.671210,-7.310930
6378136.998837,0.672896,-7.330010
6378136.998418,0.674582,-7.349089
6378136.997998,0.676268,-7.368169
6378136.997578,0.677955,-7.387248
6378136.997157,0.679642,-7.406327
6378136.996736,0.681329,-7.425406
6378136.996314,0.683016,-7.444486
6378136.995892,0.684704,-7.463565
6378136.995469,0.686392,-7.482644
6378136.995045,0.688080,-7.501723
6378136.994621,0.689769,-7.520802
6378136.994196,0.691458,-7.539881
6378136.993771,0.693147,-7.558960
6378136.993345,0.694836,-7.578039
6378136.992919,0.696526,-7.597118
6378136.992492,0.698216,-7.616197
6378136.992064,0.699907,-7.635276
6378136.991636,0.701597,-7.654354
6378136.991208,0.703288,-7.673433
6378136.990779,0.704979,-7.692512
6378136.990349,0.706671,-7.711591
6378136.989919,0.708362,-7.730669
6378136.989488,0.710054,-7.749748
6378136.989057,0.711747,-7.768826
6378136.988626,0.713439,-7.787905
6378136.988194,0.715132,-7.806983
6378136.987761,0.716825,-7.826062
6378136.987328,0.718518,-7.845140
6378136.986894,0.720212,-7.864219
6378136.986460,0.721906,-7.883297
6378136.986025,0.723600,-7.902375
6378136.985590,0.725295,-7.921454
6378136.985154,0.726989,-7.940532
6378136.984718,0.728684,-7.959610
6378136.984281,0.730379,-7.978688
6378136.983844,0.732075,-7.997766
6378136.983406,0.733770,-8.016845
6378136.982968,0.735466,-8.035923
6378136.982530,0.737163,-8.055001
6378136.982091,0.738859,-8.074079
6378136.981651,0.740556,-8.093157
6378136.981211,0.742253,-8.112235
6378136.980770,0.743950,-8.131313
6378136.980329,0.745647,-8.150390
6378136.979888,0.747345,-8.169468
6378136.979446,0.749043,-8.188546
6378136.979004,0.750741,-8.207624
6378136.978561,0.752439,-8.226702
6378136.978117,0.754138,-8.245779
6378136.977674,0.755837,-8.264857
6378136.977229,0.757536,-8.283935
6378136.976785,0.759235,-8.303012
6378136.976340,0.760935,-8.322090
6378136.975894,0.762635,-8.341168
6378136.975448,0.764335,-8.360245
6378136.975002,0.766035,-8.379323
6378136.974555,0.767736,-8.398400
6378136.974108,0.769436,-8.417478
6378136.973660,0.771137,-8.436555
6378136.973212,0.772838,-8.455632
6378136.972763,0.774540,-8.474710
6378136.972314,0.776241,-8.493787
6378136.971865,0.777943,-8.512864
6378136.971415,0.779645,-8.531942
6378136.970964,0.781348,-8.551019
6378136.970514,0.783050,-8.570096
6378136.970063,0.784753,-8.589173
6378136.969611,0.786456,-8.608250
6378136.969159,0.788159,-8.627327
6378136.968707,0.789862,-8.646405
6378136.968254,0.791566,-8.665482
6378136.967801,0.793269,-8.684559
6378136.967347,0.794973,-8.703636
6378136.966893,0.796678,-8.722713
6378136.966439,0.798382,-8.741790
6378136.965984,0.800087,-8.760867
6378136.965529,0.801791,-8.779943
6378136.965074,0.803496,-8.799020
6378136.964618,0.805202,-8.818097
6378136.964161,0.806907,-8.837174
6378136.963705,0.808613,-8.856251
6378136.963247,0.810319,-8.875327
6378136.962790,0.812025,-8.894404
6378136.962332,0.813731,-8.913481
6378136.961874,0.815437,-8.932558
6378136.961415,0.817144,-8.951634
6378136.960956,0.818851,-8.970711
6378136.960497,0.820558,-8.989787
6378136.960037,0.822265,-9.008864
6378136.959577,0.823972,-9.027941
6378136.959117,0.825680,-9.047017
6378136.958656,0.827387,-9.066094
6378136.958195,0.829095,-9.085170
6378136.957733,0.830803,-9.104247
6378136.957271,0.832512,-9.123323
6378136.956809,0.834220,-9.142399
6378136.956346,0.835929,-9.161476
6378136.955883,0.837638,-9.180552
6378136.955420,0.839347,-9.199628
6378136.954956,0.841056,-9.218705
6378136.954492,0.842765,-9.237781
6378136.954028,0.844475,-9.256857
6378136.953563,0.846185,-9.275933
6378136.953098,0.847895,-9.295010
6378136.952633,0.849605,-9.314086
6378136.952167,0.851315,-9.333162
6378136.951701,0.853026,-9.352238
6378136.951234,0.854736,-9.371314
6378136.950768,0.856447,-9.390390
6378136.950301,0.858158,-9.409466
6378136.949833,0.859869,-9.428542
6378136.949365,0.861581,-9.447618
6378136.948897,0.863292,-9.466694
6378136.948429,0.865004,-9.485770
6378136.947960,0.866716,-9.504846
6378136.947491,0.868428,-9.523922
6378136.947022,0.870140,-9.542998
6378136.946552,0.871852,-9.562074
6378136.946082,0.873565,-9.581150
6378136.945612,0.875277,-9.600226
6378136.945141,0.876990,-9.619301
6378136.944670,0.878703,-9.638377
6378136.944199,0.880416,-9.657453
6378136.943728,0.882129,-9.676529
6378136.943256,0.883843,-9.695604
6378136.942784,0.885556,-9.714680
6378136.942311,0.887270,-9.733756
6378136.941838,0.888984,-9.752831
6378136.941365,0.890698,-9.771907
6378136.940892,0.892412,-9.790983
6378136.940418,0.894127,-9.810058
6378136.939944,0.895841,-9.829134
6378136.939470,0.897556,-9.848209
6378136.938996,0.899271,-9.867285
6378136.938521,0.900986,-9.886360
6378136.938046,0.902701,-9.905436
6378136.937570,0.904416,-9.924511
6378136.937095,0.906132,-9.943587
6378136.936619,0.907847,-9.962662
6378136.936142,0.909563,-9.981738
6378136.935666,0.911279,-10.000813
6378136.935189,0.912995,-10.019888
6378136.934712,0.914711,-10.038964
6378136.934234,0.916427,-10.058039
6378136.933757,0.918144,-10.077114
6378136.933279,0.919860,-10.096190
6378136.932801,0.921577,-10.115265
6378136.932322,0.923294,-10.134340
6378136.931843,0.925011,-10.153415
6378136.931364,0.926728,-10.172490
6378136.930885,0.928445,-10.191566
6378136.930406,0.930163,-10.210641
6378136.929926,0.931880,-10.229716
6378136.929446,0.933598,-10.248791
6378136.928965,0.935316,-10.267866
6378136.928485,0.937034,-10.286941
6378136.928004,0.938752,-10.306016
6378136.927523,0.940470,-10.325091
6378136.927041,0.942189,-10.344166
6378136.926560,0.943907,-10.363242
6378136.926078,0.945626,-10.382317
6378136.925596,0.947344,-10.401391
6378136.925113,0.949063,-10.420466
6378136.924631,0.950782,-10.439541
6378136.924148,0.952501,-10.458616
6378136.923665,0.954221,-10.477691
6378136.923181,0.955940,-10.496766
6378136.922698,0.957660,-10.515841
6378136.922214,0.959379,-10.534916
6378136.921730,0.961099,-10.553991
6378136.921245,0.962819,-10.573066
6378136.920761,0.964539,-10.592140
6378136.920276,0.966259,-10.611215
6378136.919791,0.967979,-10.630290
6378136.919306,0.969700,-10.649365
6378136.918820,0.971420,-10.668439
6378136.918334,0.973141,-10.687514
6378136.917848,0.974861,-10.706589
6378136.917362,0.976582,-10.725664
6378136.916876,0.978303,-10.744738
6378136.916389,0.980024,-10.763813
6378136.915902,0.981746,-10.782887
6378136.915415,0.983467,-10.801962
6378136.914927,0.985188,-10.821037
6378136.914440,0.986910,-10.840111
6378136.913952,0.988632,-10.859186
6378136.913464,0.990353,-10.878260
6378136.912976,0.992075,-10.897335
6378136.912487,0.993797,-10.916409
6378136.911998,0.995519,-10.935484
6378136.911510,0.997242,-10.954558
6378136.911020,0.998964,-10.973633
6378136.910531,1.000686,-10.992707
6378136.910042,1.002409,-11.011782
6378136.909552,1.004132,-11.030856
6378136.909062,1.005854,-11.049931
6378136.908572,1.007577,-11.069005
6378136.908081,1.009300,-11.088080
6378136.907591,1.011023,-11.107154
6378136.907100,1.012747,-11.126228
6378136.906609,1.014470,-11.145303
6378136.906117,1.016193,-11.164377
6378136.905626,1.017917,-11.183451
6378136.905134,1.019640,-11.202526
6378136.904643,1.021364,-11.221600
6378136.904151,1.023088,-11.240674
6378136.903658,1.024812,-11.259748
6378136.903166,1.026536,-11.278823
6378136.902673,1.028260,-11.297897
6378136.902180,1.029984,-11.316971
6378136.901687,1.031709,-11.336045
6378136.901194,1.033433,-11.355119
6378136.900701,1.035158,-11.374194
6378136.900207,1.036882,-11.393268
6378136.899713,1.038607,-11.412342
6378136.899219,1.040332,-11.431416
6378136.898725,1.042057,-11.450490
6378136.898231,1.043782,-11.469564
6378136.897736,1.045507,-11.488638
6378136.897242,1.047232,-11.507712
6378136.896747,1.048957,-11.526786
6378136.896252,1.050683,-11.545861
6378136.895756,1.052408,-11.564935
6378136.895261,1.054134,-11.584009
6378136.894765,1.055860,-11.603083
6378136.894269,1.057585,-11.622157
6378136.893773,1.059311,-11.641231
6378136.893277,1.061037,-11.660305
6378136.892781,1.062763,-11.679379
6378136.892284,1.064489,-11.698452
6378136.891787,1.066216,-11.717526
6378136.891290,1.067942,-11.736600
6378136.890793,1.069668,-11.755674
6378136.890296,1.071395,-11.774748
6378136.889799,1.073121,-11.793822
6378136.889301,1.074848,-11.812896
6378136.888803,1.076575,-11.831970
6378136.888305,1.078302,-11.851044
