ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
27.593031,-4.449912,-16.113332
27.592730,-4.453650,-16.112814
27.592430,-4.457369,-16.112299
27.592131,-4.461069,-16.111787
27.591834,-4.464748,-16.111277
27.591537,-4.468409,-16.110770
27.591242,-4.472050,-16.110265
27.590948,-4.475672,-16.109762
27.590656,-4.479275,-16.109262
27.590364,-4.482859,-16.108765
27.590073,-4.486424,-16.108270
27.589784,-4.489970,-16.107778
27.589496,-4.493497,-16.107288
27.589209,-4.497006,-16.106800
27.588923,-4.500497,-16.106315
27.588638,-4.503969,-16.105833
27.588354,-4.507422,-16.105352
27.588072,-4.510858,-16.104874
27.587790,-4.514275,-16.104399
27.587510,-4.517675,-16.103926
27.587231,-4.521056,-16.103455
27.586953,-4.524420,-16.102987
27.586676,-4.527766,-16.102520
27.586400,-4.531094,-16.102057
27.586125,-4.534405,-16.101595
27.585852,-4.537698,-16.101136
27.585579,-4.540974,-16.100679
27.585308,-4.544233,-16.100225
27.585038,-4.547475,-16.099772
27.584769,-4.550699,-16.099322
27.584501,-4.553907,-16.098875
27.584234,-4.557097,-16.098429
27.583968,-4.560271,-16.097986
27.583703,-4.563428,-16.097545
27.583440,-4.566569,-16.097106
27.583177,-4.569692,-16.096669
27.582916,-4.572800,-16.096235
27.582655,-4.575891,-16.095803
27.582396,-4.578966,-16.095372
27.582138,-4.582024,-16.094944
27.581881,-4.585067,-16.094519
27.581625,-4.588093,-16.094095
27.581370,-4.591104,-16.093673
27.581116,-4.594098,-16.093254
27.580863,-4.597077,-16.092837
27.580611,-4.600040,-16.092421
27.580360,-4.602988,-16.092008
27.580111,-4.605920,-16.091597
27.579862,-4.608837,-16.091188
27.579615,-4.611738,-16.090781
27.579368,-4.614624,-16.090376
27.579123,-4.617495,-16.089973
27.578878,-4.620350,-16.089573
27.578635,-4.623191,-16.089174
27.578393,-4.626017,-16.088777
27.578151,-4.628827,-16.088382
27.577911,-4.631623,-16.087989
27.577672,-4.634405,-16.087599
27.577433,-4.637171,-16.087210
27.577196,-4.639923,-16.086823
27.576960,-4.642661,-16.086438
27.576725,-4.645384,-16.086055
27.576491,-4.648093,-16.085674
27.576258,-4.650787,-16.085295
27.576026,-4.653468,-16.084917
27.575794,-4.656134,-16.084542
27.575564,-4.658786,-16.084169
27.575335,-4.661424,-16.083797
27.575107,-4.664049,-16.083427
27.574880,-4.666659,-16.083059
27.574654,-4.669256,-16.082693
27.574429,-4.671839,-16.082329
27.574204,-4.674409,-16.081967
27.573981,-4.676964,-16.081607
27.573759,-4.679507,-16.081248
27.573538,-4.682036,-16.080891
27.573317,-4.684552,-16.080536
27.573098,-4.687054,-16.080183
27.572880,-4.689544,-16.079832
27.572662,-4.692020,-16.079482
27.572446,-4.694483,-16.079134
27.572231,-4.696934,-16.078788
27.572016,-4.699371,-16.078444
27.571802,-4.701796,-16.078101
27.571590,-4.704207,-16.077760
27.571378,-4.706606,-16.077421
27.571167,-4.708993,-16.077084
27.570958,-4.711367,-16.076748
27.570749,-4.713728,-16.076414
27.570541,-4.716077,-16.076082
27.570334,-4.718414,-16.075751
27.570128,-4.720738,-16.075422
27.569923,-4.723050,-16.075095
27.569718,-4.725350,-16.074769
27.569515,-4.727638,-16.074445
27.569313,-4.729914,-16.074123
27.569111,-4.732177,-16.073802
27.568910,-4.734429,-16.073483
27.568711,-4.736669,-16.073166
27.568512,-4.738898,-16.072850
27.568314,-4.741114,-16.072536
27.568117,-4.743319,-16.072223
27.567921,-4.745512,-16.071912
27.567726,-4.747694,-16.071603
27.567531,-4.749864,-16.071295
27.567338,-4.752023,-16.070989
27.567145,-4.754170,-16.070684
27.566954,-4.756306,-16.070381
27.566763,-4.758431,-16.070079
27.566573,-4.760545,-16.069779
27.566384,-4.762648,-16.069480
27.566195,-4.764739,-16.069183
27.566008,-4.766820,-16.068888
27.565821,-4.768889,-16.068594
27.565636,-4.770948,-16.068301
27.565451,-4.772996,-16.068010
27.565267,-4.775033,-16.067721
27.565084,-4.777059,-16.067432
27.564901,-4.779075,-16.067146
27.564720,-4.781080,-16.066861
27.564539,-4.783074,-16.066577
27.564359,-4.785058,-16.066295
27.564180,-4.787032,-16.066014
27.564002,-4.788995,-16.065735
27.563825,-4.790948,-16.065457
27.563648,-4.792891,-16.065180
27.563472,-4.794823,-16.064905
27.563298,-4.796745,-16.064631
27.563123,-4.798657,-16.064359
27.562950,-4.800559,-16.064088
27.562778,-4.802451,-16.063818
27.562606,-4.804333,-16.063550
27.562435,-4.806206,-16.063283
27.562265,-4.808068,-16.063018
27.562096,-4.809921,-16.062754
27.561927,-4.811763,-16.062491
27.561759,-4.813596,-16.062230
27.561592,-4.815420,-16.061970
27.561426,-4.817234,-16.061711
27.561261,-4.819038,-16.061454
27.561096,-4.820833,-16.061198
27.560932,-4.822618,-16.060943
27.560769,-4.824394,-16.060689
27.560607,-4.826161,-16.060437
27.560445,-4.827918,-16.060186
27.560284,-4.829666,-16.059937
27.560124,-4.831405,-16.059688
27.559965,-4.833135,-16.059441
27.559806,-4.834856,-16.059196
27.559648,-4.836567,-16.058951
27.559491,-4.838270,-16.058708
27.559335,-4.839964,-16.058466
27.559179,-4.841648,-16.058225
27.559024,-4.843324,-16.057985
27.558870,-4.844991,-16.057747
27.558717,-4.846650,-16.057510
27.558564,-4.848299,-16.057274
27.558412,-4.849940,-16.057039
27.558261,-4.851572,-16.056806
27.558110,-4.853196,-16.056574
27.557960,-4.854811,-16.056343
27.557811,-4.856418,-16.056113
27.557663,-4.858016,-16.055884
27.557515,-4.859606,-16.055656
27.557368,-4.861187,-16.055430
27.557222,-4.862760,-16.055205
27.557076,-4.864325,-16.054981
27.556931,-4.865882,-16.054758
27.556787,-4.867430,-16.054536
27.556643,-4.868971,-16.054316
27.556500,-4.870503,-16.054096
27.556358,-4.872027,-16.053878
27.556217,-4.873543,-16.053660
27.556076,-4.875051,-16.053444
27.555936,-4.876551,-16.053229
27.555796,-4.878044,-16.053015
27.555657,-4.879528,-16.052803
27.555519,-4.881005,-16.052591
27.555381,-4.882474,-16.052380
27.555245,-4.883935,-16.052171
27.555108,-4.885388,-16.051962
27.554973,-4.886834,-16.051755
27.554838,-4.888272,-16.051549
27.554704,-4.889703,-16.051343
27.554570,-4.891126,-16.051139
27.554437,-4.892542,-16.050936
27.554305,-4.893950,-16.050734
27.554173,-4.895351,-16.050533
27.554042,-4.896745,-16.050333
27.553911,-4.898131,-16.050134
27.553782,-4.899509,-16.049936
27.553652,-4.900881,-16.049739
27.553524,-4.902245,-16.049543
27.553396,-4.903603,-16.049348
27.553269,-4.904953,-16.049154
27.553142,-4.906296,-16.048961
27.553016,-4.907632,-16.048769
27.552890,-4.908961,-16.048578
27.552765,-4.910282,-16.048388
27.552641,-4.911597,-16.048199
27.552517,-4.912905,-16.048011
27.552394,-4.914207,-16.047824
27.552272,-4.915501,-16.047638
27.552150,-4.916788,-16.047453
27.552028,-4.918069,-16.047269
27.551908,-4.919343,-16.047086
27.551788,-4.920611,-16.046903
27.551668,-4.921871,-16.046722
27.551549,-4.923125,-16.046542
27.551431,-4.924373,-16.046362
27.551313,-4.925614,-16.046184
27.551196,-4.926848,-16.046006
27.551079,-4.928076,-16.045829
27.550963,-4.929297,-16.045653
27.550847,-4.930512,-16.045479
27.550732,-4.931721,-16.045305
27.550618,-4.932923,-16.045131
27.550504,-4.934119,-16.044959
27.550391,-4.935309,-16.044788
27.550278,-4.936492,-16.044618
27.550166,-4.937669,-16.044448
27.550054,-4.938840,-16.044279
27.549943,-4.940005,-16.044112
27.549832,-4.941164,-16.043945
27.549722,-4.942316,-16.043779
27.549613,-4.943463,-16.043613
27.549504,-4.944603,-16.043449
27.549395,-4.945738,-16.043285
27.549287,-4.946866,-16.043123
27.549180,-4.947989,-16.042961
27.549073,-4.949106,-16.042800
27.548967,-4.950217,-16.042640
27.548861,-4.951322,-16.042481
27.548756,-4.952421,-16.042322
27.548651,-4.953514,-16.042164
27.548547,-4.954602,-16.042007
27.548443,-4.955684,-16.041851
27.548340,-4.956760,-16.041696
27.548237,-4.957831,-16.041542
27.548135,-4.958896,-16.041388
27.548033,-4.959955,-16.041235
27.547932,-4.961009,-16.041083
27.547831,-4.962057,-16.040932
27.547731,-4.963100,-16.040781
27.547631,-4.964137,-16.040632
27.547532,-4.965169,-16.040483
27.547433,-4.966196,-16.040335
27.547335,-4.967217,-16.040187
27.547237,-4.968232,-16.040041
27.547140,-4.969243,-16.039895
27.547043,-4.970248,-16.039750
27.546947,-4.971248,-16.039605
27.546851,-4.972242,-16.039462
27.546755,-4.973231,-16.039319
27.546661,-4.974215,-16.039177
27.546566,-4.975194,-16.039035
