q0 (),q1,q2,q3
0.996658,0.057480,0.020997,0.054107
0.996656,0.057496,0.021004,0.054122
0.996654,0.057512,0.021011,0.054137
0.996653,0.057528,0.021018,0.054152
0.996651,0.057544,0.021024,0.054166
0.996649,0.057559,0.021031,0.054181
0.996647,0.057575,0.021038,0.054196
0.996645,0.057590,0.021044,0.054210
0.996643,0.057605,0.021051,0.054224
0.996642,0.057621,0.021057,0.054239
0.996640,0.057636,0.021064,0.054253
0.996638,0.057651,0.021070,0.054267
0.996636,0.057666,0.021077,0.054281
0.996635,0.057681,0.021083,0.054295
0.996633,0.057696,0.021089,0.054309
0.996631,0.057711,0.021096,0.054323
0.996629,0.057725,0.021102,0.054337
0.996628,0.057740,0.021108,0.054351
0.996626,0.057754,0.021115,0.054364
0.996624,0.057769,0.021121,0.054378
0.996622,0.057783,0.021127,0.054391
0.996621,0.057798,0.021133,0.054405
0.996619,0.057812,0.021139,0.054418
0.996617,0.057826,0.021145,0.054431
0.996616,0.057840,0.021151,0.054445
0.996614,0.057854,0.021157,0.054458
0.996612,0.057868,0.021163,0.054471
0.996611,0.057882,0.021169,0.054484
0.996609,0.057896,0.021175,0.054497
0.996608,0.057909,0.021181,0.054510
0.996606,0.057923,0.021187,0.054523
0.996604,0.057937,0.021193,0.054535
0.996603,0.057950,0.021199,0.054548
0.996601,0.057964,0.021204,0.054561
0.996600,0.057977,0.021210,0.054573
0.996598,0.057990,0.021216,0.054586
0.996596,0.058004,0.021221,0.054598
0.996595,0.058017,0.021227,0.054610
0.996593,0.058030,0.021233,0.054623
0.996592,0.058043,0.021238,0.054635
0.996590,0.058056,0.021244,0.054647
0.996589,0.058069,0.021249,0.054659
0.996587,0.058081,0.021255,0.054671
0.996586,0.058094,0.021260,0.054683
0.996584,0.058107,0.021266,0.054695
0.996583,0.058120,0.021271,0.054707
0.996581,0.058132,0.021277,0.054719
0.996580,0.058145,0.021282,0.054730
0.996578,0.058157,0.021287,0.054742
0.996577,0.058169,0.021293,0.054754
0.996575,0.058182,0.021298,0.054765
0.996574,0.058194,0.021303,0.054777
0.996572,0.058206,0.021308,0.054788
0.996571,0.058218,0.021314,0.054799
0.996569,0.058230,0.021319,0.054811
0.996568,0.058242,0.021324,0.054822
0.996567,0.058254,0.021329,0.054833
0.996565,0.058266,0.021334,0.054844
0.996564,0.058278,0.021339,0.054855
0.996562,0.058289,0.021344,0.054866
0.996561,0.058301,0.021349,0.054877
0.996560,0.058313,0.021354,0.054888
0.996558,0.058324,0.021359,0.054899
0.996557,0.058336,0.021364,0.054909
0.996555,0.058347,0.021369,0.054920
0.996554,0.058358,0.021374,0.054931
0.996553,0.058370,0.021379,0.054941
0.996551,0.058381,0.021384,0.054952
0.996550,0.058392,0.021388,0.054962
0.996549,0.058403,0.021393,0.054973
0.996547,0.058414,0.021398,0.054983
0.996546,0.058425,0.021403,0.054994
0.996545,0.058436,0.021407,0.055004
0.996543,0.058447,0.021412,0.055014
0.996542,0.058458,0.021417,0.055024
0.996541,0.058469,0.021421,0.055034
0.996540,0.058479,0.021426,0.055044
0.996538,0.058490,0.021431,0.055054
0.996537,0.058501,0.021435,0.055064
0.996536,0.058511,0.021440,0.055074
0.996535,0.058522,0.021444,0.055084
0.996533,0.058532,0.021449,0.055094
0.996532,0.058542,0.021453,0.055104
0.996531,0.058553,0.021458,0.055113
0.996530,0.058563,0.021462,0.055123
0.996528,0.058573,0.021466,0.055132
0.996527,0.058583,0.021471,0.055142
0.996526,0.058594,0.021475,0.055152
0.996525,0.058604,0.021479,0.055161
0.996524,0.058614,0.021484,0.055170
0.996522,0.058624,0.021488,0.055180
0.996521,0.058633,0.021492,0.055189
0.996520,0.058643,0.021497,0.055198
0.996519,0.058653,0.021501,0.055207
0.996518,0.058663,0.021505,0.055217
0.996516,0.058673,0.021509,0.055226
0.996515,0.058682,0.021513,0.055235
0.996514,0.058692,0.021517,0.055244
0.996513,0.058701,0.021522,0.055253
0.996512,0.058711,0.021526,0.055262
0.996511,0.058720,0.021530,0.055270
0.996510,0.058730,0.021534,0.055279
0.996508,0.058739,0.021538,0.055288
0.996507,0.058748,0.021542,0.055297
0.996506,0.058758,0.021546,0.055305
0.996505,0.058767,0.021550,0.055314
0.996504,0.058776,0.021554,0.055323
0.996503,0.058785,0.021558,0.055331
0.996502,0.058794,0.021561,0.055340
0.996501,0.058803,0.021565,0.055348
0.996500,0.058812,0.021569,0.055356
0.996499,0.058821,0.021573,0.055365
0.996498,0.058830,0.021577,0.055373
0.996496,0.058839,0.021581,0.055381
0.996495,0.058847,0.021584,0.055390
0.996494,0.058856,0.021588,0.055398
0.996493,0.058865,0.021592,0.055406
0.996492,0.058873,0.021596,0.055414
0.996491,0.058882,0.021599,0.055422
0.996490,0.058890,0.021603,0.055430
0.996489,0.058899,0.021607,0.055438
0.996488,0.058907,0.021610,0.055446
