q0 (),q1,q2,q3
0.996288,0.015805,0.045181,0.071552
0.996285,0.015810,0.045198,0.071578
0.996282,0.015815,0.045215,0.071605
0.996279,0.015819,0.045233,0.071631
0.996277,0.015824,0.045250,0.071657
0.996274,0.015829,0.045267,0.071683
0.996271,0.015833,0.045284,0.071709
0.996269,0.015838,0.045301,0.071735
0.996266,0.015842,0.045317,0.071761
0.996263,0.015847,0.045334,0.071786
0.996261,0.015851,0.045351,0.071812
0.996258,0.015856,0.045367,0.071837
0.996255,0.015860,0.045383,0.071862
0.996253,0.015864,0.045400,0.071887
0.996250,0.015869,0.045416,0.071912
0.996247,0.015873,0.045432,0.071937
0.996245,0.015877,0.045448,0.071961
0.996242,0.015882,0.045464,0.071986
0.996240,0.015886,0.045480,0.072010
0.996237,0.015890,0.045496,0.072034
0.996235,0.015894,0.045512,0.072058
0.996232,0.015899,0.045527,0.072082
0.996230,0.015903,0.045543,0.072106
0.996227,0.015907,0.045558,0.072130
0.996225,0.015911,0.045574,0.072154
0.996222,0.015915,0.045589,0.072177
0.996220,0.015919,0.045604,0.072200
0.996217,0.015923,0.045620,0.072224
0.996215,0.015927,0.045635,0.072247
0.996213,0.015931,0.045650,0.072270
0.996210,0.015935,0.045665,0.072293
0.996208,0.015939,0.045679,0.072315
0.996205,0.015943,0.045694,0.072338
0.996203,0.015947,0.045709,0.072360
0.996201,0.015951,0.045724,0.072383
0.996198,0.015955,0.045738,0.072405
0.996196,0.015959,0.045753,0.072427
0.996194,0.015963,0.045767,0.072449
0.996191,0.015967,0.045781,0.072471
0.996189,0.015970,0.045795,0.072493
0.996187,0.015974,0.045810,0.072515
0.996184,0.015978,0.045824,0.072536
0.996182,0.015982,0.045838,0.072558
0.996180,0.015985,0.045852,0.072579
0.996178,0.015989,0.045866,0.072600
0.996175,0.015993,0.045879,0.072621
0.996173,0.015996,0.045893,0.072642
0.996171,0.016000,0.045907,0.072663
0.996169,0.016004,0.045920,0.072684
0.996167,0.016007,0.045934,0.072705
0.996164,0.016011,0.045947,0.072725
0.996162,0.016015,0.045961,0.072746
0.996160,0.016018,0.045974,0.072766
0.996158,0.016022,0.045987,0.072786
0.996156,0.016025,0.046000,0.072806
0.996154,0.016029,0.046013,0.072826
0.996152,0.016032,0.046026,0.072846
0.996149,0.016036,0.046039,0.072866
0.996147,0.016039,0.046052,0.072886
0.996145,0.016042,0.046065,0.072905
0.996143,0.016046,0.046078,0.072925
0.996141,0.016049,0.046091,0.072944
0.996139,0.016053,0.046103,0.072964
0.996137,0.016056,0.046116,0.072983
0.996135,0.016059,0.046128,0.073002
0.996133,0.016062,0.046141,0.073021
0.996131,0.016066,0.046153,0.073040
0.996129,0.016069,0.046165,0.073059
0.996127,0.016072,0.046178,0.073077
0.996125,0.016076,0.046190,0.073096
0.996123,0.016079,0.046202,0.073115
0.996121,0.016082,0.046214,0.073133
0.996119,0.016085,0.046226,0.073151
0.996117,0.016088,0.046238,0.073169
0.996115,0.016091,0.046250,0.073188
0.996113,0.016095,0.046261,0.073206
0.996111,0.016098,0.046273,0.073224
0.996110,0.016101,0.046285,0.073241
0.996108,0.016104,0.046296,0.073259
0.996106,0.016107,0.046308,0.073277
0.996104,0.016110,0.046319,0.073294
0.996102,0.016113,0.046331,0.073312
0.996100,0.016116,0.046342,0.073329
0.996098,0.016119,0.046354,0.073346
0.996096,0.016122,0.046365,0.073364
0.996095,0.016125,0.046376,0.073381
0.996093,0.016128,0.046387,0.073398
0.996091,0.016131,0.046398,0.073415
0.996089,0.016134,0.046409,0.073432
0.996087,0.016137,0.046420,0.073448
0.996086,0.016140,0.046431,0.073465
0.996084,0.016142,0.046442,0.073481
0.996082,0.016145,0.046453,0.073498
0.996080,0.016148,0.046463,0.073514
0.996079,0.016151,0.046474,0.073531
0.996077,0.016154,0.046485,0.073547
0.996075,0.016157,0.046495,0.073563
0.996073,0.016159,0.046506,0.073579
