accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.247640,-1.027863,-9.644847
1.246369,-1.024867,-9.647702
1.254063,-1.017836,-9.646683
1.247114,-1.023585,-9.630939
1.242637,-1.022426,-9.648092
1.253988,-1.015300,-9.640125
1.253251,-1.024569,-9.647057
1.249260,-1.025612,-9.649010
1.255202,-1.026183,-9.641429
1.256882,-1.021989,-9.650966
1.252265,-1.028494,-9.641860
1.255985,-1.026113,-9.639052
1.258324,-1.023205,-9.645866
1.251360,-1.031802,-9.634836
1.254786,-1.021287,-9.640133
1.263351,-1.034432,-9.645769
1.264835,-1.035542,-9.645722
1.254954,-1.035623,-9.638775
1.257346,-1.029468,-9.635944
1.251547,-1.033684,-9.639697
1.261266,-1.028472,-9.647837
1.268771,-1.041385,-9.636726
1.264074,-1.033547,-9.645740
1.266112,-1.033356,-9.651235
1.261595,-1.032573,-9.635483
1.261905,-1.039953,-9.630025
1.258394,-1.045127,-9.636098
1.274100,-1.037064,-9.642417
1.270413,-1.035718,-9.639191
1.267032,-1.040355,-9.628809
1.274266,-1.043825,-9.636692
1.271804,-1.039012,-9.642734
1.271767,-1.043800,-9.641276
1.271236,-1.047505,-9.638521
1.280606,-1.038553,-9.641282
1.282630,-1.043698,-9.636748
1.279044,-1.045954,-9.639608
1.274387,-1.033420,-9.640636
1.273242,-1.052402,-9.629894
1.283965,-1.042393,-9.646303
1.275824,-1.039725,-9.648067
1.284741,-1.046944,-9.635827
1.286583,-1.050550,-9.641053
1.282444,-1.046967,-9.643773
1.283888,-1.052198,-9.641234
1.284549,-1.052970,-9.628482
1.291066,-1.038957,-9.639631
1.283960,-1.051951,-9.644723
1.282564,-1.055749,-9.637832
1.294673,-1.046144,-9.637602
1.286303,-1.045528,-9.632781
1.291420,-1.051147,-9.640783
1.287302,-1.051837,-9.644289
1.291401,-1.048595,-9.633260
1.294962,-1.050459,-9.639300
1.296974,-1.059156,-9.640709
1.287113,-1.062658,-9.635752
1.286785,-1.059340,-9.638128
1.295233,-1.053360,-9.627359
1.291189,-1.054223,-9.631094
1.301995,-1.060993,-9.622044
1.295435,-1.061230,-9.630502
1.303110,-1.053693,-9.629230
1.293359,-1.056097,-9.631162
1.295187,-1.070430,-9.625081
1.299935,-1.057175,-9.634135
1.303873,-1.062581,-9.634430
1.300368,-1.066417,-9.633982
1.314638,-1.059519,-9.635940
1.300649,-1.064595,-9.627213
1.301399,-1.071281,-9.636334
1.306841,-1.065675,-9.626852
1.305951,-1.075066,-9.634622
1.311813,-1.063718,-9.632221
1.305256,-1.065722,-9.629810
1.302967,-1.073098,-9.630096
