mag_x (uT),mag_y (uT),mag_z (uT)
28.020077,-1.793753,-15.872054
28.031637,-1.796108,-15.898003
28.002666,-1.808988,-15.887739
28.021155,-1.804249,-15.887942
28.012296,-1.816210,-15.882960
28.016528,-1.801700,-15.886991
28.018516,-1.805340,-15.892908
28.025128,-1.816264,-15.881548
28.022627,-1.806811,-15.881671
28.030001,-1.808589,-15.890069
28.010864,-1.823945,-15.908762
28.011642,-1.816260,-15.888274
28.020311,-1.818201,-15.883900
28.019702,-1.826831,-15.884961
28.014341,-1.814071,-15.886244
28.024832,-1.824620,-15.884597
28.035332,-1.831664,-15.892546
28.018729,-1.814391,-15.871232
28.004203,-1.839705,-15.899476
28.041919,-1.822530,-15.894939
28.019623,-1.852395,-15.888133
28.022928,-1.831312,-15.886881
28.020246,-1.827889,-15.885450
28.016890,-1.835173,-15.894617
28.034398,-1.830650,-15.883971
28.015851,-1.823596,-15.909839
28.036412,-1.837364,-15.862762
28.026292,-1.830040,-15.872615
28.020452,-1.833066,-15.880991
28.023924,-1.862922,-15.898117
28.026561,-1.848188,-15.893495
28.019466,-1.846654,-15.884014
28.032669,-1.847689,-15.872195
28.031497,-1.842213,-15.878835
28.041941,-1.861708,-15.876116
28.025888,-1.861047,-15.878559
28.028595,-1.849638,-15.902386
28.045352,-1.839212,-15.881011
28.017330,-1.852315,-15.875325
28.033599,-1.854384,-15.882415
27.994800,-1.874090,-15.871982
28.020119,-1.870753,-15.848992
28.027054,-1.857515,-15.892223
28.021255,-1.869164,-15.868665
28.031091,-1.873090,-15.866102
28.021913,-1.862968,-15.868549
28.021152,-1.861784,-15.862940
28.041794,-1.884518,-15.874510
28.048281,-1.870514,-15.875302
28.019237,-1.873133,-15.851241
28.025532,-1.858671,-15.858272
28.019803,-1.884378,-15.869946
28.031426,-1.890878,-15.874483
28.030224,-1.869711,-15.849632
28.011914,-1.879107,-15.857151
28.034119,-1.877981,-15.864935
28.025074,-1.883010,-15.885267
28.037200,-1.865791,-15.862446
28.028146,-1.894550,-15.850858
28.032348,-1.881806,-15.863457
28.036189,-1.901601,-15.842159
28.034420,-1.900658,-15.841811
28.038905,-1.861088,-15.856541
28.033999,-1.901196,-15.860542
28.034145,-1.869122,-15.847019
