mag_x (uT),mag_y (uT),mag_z (uT)
28.036528,-4.383609,-15.354409
28.011085,-4.370453,-15.341067
28.034051,-4.382868,-15.353709
28.033771,-4.391538,-15.342186
28.031103,-4.389914,-15.356728
28.047060,-4.400402,-15.340837
28.047329,-4.401443,-15.358547
28.021108,-4.403331,-15.345329
28.042234,-4.416408,-15.338265
28.023564,-4.402921,-15.328791
28.052756,-4.415042,-15.346568
28.055052,-4.431583,-15.333047
28.049635,-4.422602,-15.340401
28.046896,-4.423952,-15.318067
28.045244,-4.428290,-15.349024
28.070335,-4.434823,-15.331275
28.030256,-4.448820,-15.345211
28.047174,-4.426315,-15.320556
28.039775,-4.442975,-15.330063
28.040119,-4.454257,-15.317875
28.056430,-4.448042,-15.315200
28.025245,-4.457353,-15.317738
28.039303,-4.458445,-15.338083
28.023521,-4.459956,-15.327875
28.047390,-4.477710,-15.333662
28.022938,-4.474166,-15.323909
28.047027,-4.476075,-15.306511
28.042088,-4.481618,-15.304790
28.040575,-4.465370,-15.318298
28.030768,-4.493293,-15.300662
28.045175,-4.495812,-15.315053
28.059073,-4.496046,-15.302239
28.039430,-4.499905,-15.310973
28.024225,-4.502264,-15.318758
28.038681,-4.507814,-15.319038
28.045177,-4.506898,-15.302765
28.054787,-4.516757,-15.310559
28.043965,-4.510665,-15.306946
28.045100,-4.491731,-15.296984
28.035891,-4.515210,-15.294867
28.048405,-4.509412,-15.284180
28.051032,-4.529704,-15.279730
28.018910,-4.522579,-15.311812
28.057058,-4.544342,-15.277872
28.062960,-4.545196,-15.295697
28.052715,-4.533434,-15.287238
28.031351,-4.539465,-15.296343
28.045117,-4.551647,-15.285703
28.041810,-4.552580,-15.291051
28.039392,-4.541738,-15.281431
28.053147,-4.561901,-15.284858
28.042594,-4.559496,-15.283737
28.040733,-4.563623,-15.270541
28.038434,-4.566225,-15.290847
28.042829,-4.563662,-15.271256
28.026963,-4.563388,-15.283870
28.037965,-4.572063,-15.268012
28.044041,-4.565784,-15.274702
28.037406,-4.571055,-15.276632
28.052404,-4.576354,-15.292044
28.039567,-4.599572,-15.281962
28.056701,-4.584572,-15.260262
28.043932,-4.594298,-15.282372
28.056137,-4.598678,-15.275971
28.048958,-4.611516,-15.260460
28.047409,-4.598137,-15.269788
28.036450,-4.592940,-15.278422
28.032023,-4.593263,-15.266831
28.043423,-4.587491,-15.272199
28.040614,-4.607022,-15.285466
28.049837,-4.603207,-15.267853
28.057461,-4.615571,-15.246707
28.039949,-4.618750,-15.258838
28.059983,-4.608087,-15.256449
28.052104,-4.631645,-15.265111
28.055143,-4.631258,-15.262754
28.049502,-4.609790,-15.263600
28.047761,-4.616815,-15.234700
28.031531,-4.632755,-15.254510
28.048277,-4.627085,-15.256614
28.041028,-4.639273,-15.244321
28.066288,-4.635526,-15.253353
28.058059,-4.633913,-15.248027
28.054255,-4.641915,-15.247493
28.069970,-4.656539,-15.253128
28.049227,-4.639905,-15.252988
28.044691,-4.643221,-15.243436
28.047135,-4.656238,-15.249417
28.062063,-4.660497,-15.236986
28.066705,-4.668080,-15.253877
28.041840,-4.668515,-15.246837
28.057225,-4.647853,-15.250876
28.032152,-4.665326,-15.241195
28.055490,-4.673439,-15.221895
28.055223,-4.670530,-15.248952
28.056059,-4.666632,-15.235600
28.048289,-4.667288,-15.246255
28.043908,-4.664860,-15.234445
28.039153,-4.665545,-15.245635
28.043908,-4.680487,-15.259774
28.046413,-4.688021,-15.237978
28.044575,-4.691252,-15.248732
28.057751,-4.694054,-15.217026
28.051474,-4.692179,-15.231353
28.053346,-4.699635,-15.231434
28.053925,-4.708072,-15.229239
28.046021,-4.699215,-15.231895
28.039422,-4.694204,-15.239118
28.058596,-4.698604,-15.219222
28.060723,-4.689715,-15.231016
28.049871,-4.695469,-15.222920
28.049312,-4.702735,-15.240849
28.058817,-4.703955,-15.235084
28.062844,-4.701869,-15.245438
28.056728,-4.707537,-15.232399
28.047054,-4.709605,-15.225189
28.052657,-4.720116,-15.233271
28.040683,-4.706930,-15.222000
28.044940,-4.718806,-15.219237
28.037291,-4.712095,-15.213788
28.068534,-4.728477,-15.223838
28.044232,-4.721535,-15.225137
28.054997,-4.724203,-15.195709
28.062254,-4.746188,-15.207838
28.065264,-4.726750,-15.207093
28.040033,-4.726328,-15.223962
28.060940,-4.747639,-15.213823
28.046926,-4.733477,-15.205172
28.049119,-4.749113,-15.222430
28.054610,-4.723342,-15.209385
28.049561,-4.743560,-15.218553
28.074584,-4.753196,-15.196362
28.058362,-4.744272,-15.217021
28.058315,-4.738506,-15.221064
28.052838,-4.753070,-15.204665
28.039628,-4.741800,-15.203435
28.078236,-4.757788,-15.196867
28.052905,-4.749593,-15.203620
28.030660,-4.778084,-15.200069
28.047261,-4.764681,-15.196280
28.064566,-4.751730,-15.203452
28.060481,-4.763005,-15.185138
28.061610,-4.770169,-15.191981
28.043571,-4.772245,-15.196669
28.075429,-4.796743,-15.189504
28.069410,-4.773541,-15.200304
28.046788,-4.784429,-15.202698
28.070605,-4.775916,-15.206822
28.062682,-4.767387,-15.196017
28.055110,-4.769143,-15.186314
28.057332,-4.785493,-15.180539
28.054850,-4.786357,-15.201646
28.059727,-4.791643,-15.174729
28.051096,-4.788754,-15.173702
28.041247,-4.784672,-15.184876
28.044613,-4.796653,-15.175245
28.059457,-4.786459,-15.185911
28.059278,-4.799447,-15.188347
28.063329,-4.783186,-15.189748
28.057011,-4.799603,-15.190867
28.058407,-4.791577,-15.197157
28.068268,-4.802133,-15.194706
28.057613,-4.786307,-15.177403
28.069054,-4.798926,-15.197501
28.042044,-4.821210,-15.184292
28.034065,-4.808362,-15.169396
28.054057,-4.792810,-15.184947
28.053216,-4.813923,-15.186356
28.052636,-4.802218,-15.191383
28.045563,-4.806024,-15.176004
28.052890,-4.821481,-15.166743
28.059511,-4.808710,-15.186706
28.062669,-4.827370,-15.178104
28.051206,-4.826192,-15.194719
28.062296,-4.814733,-15.153868
28.055452,-4.820424,-15.167073
28.056785,-4.829627,-15.178071
28.060367,-4.833114,-15.173222
28.065436,-4.839428,-15.169845
28.036675,-4.820090,-15.165439
28.075300,-4.832463,-15.174178
28.050066,-4.820139,-15.183256
28.049434,-4.840391,-15.165976
28.059089,-4.835052,-15.168898
28.047226,-4.836899,-15.154847
28.045490,-4.868514,-15.173312
28.043940,-4.833143,-15.168121
28.051252,-4.830298,-15.164623
28.064205,-4.836336,-15.175590
28.065691,-4.829985,-15.172091
28.065194,-4.866271,-15.159768
28.044143,-4.844540,-15.151053
28.072462,-4.822420,-15.155693
28.054161,-4.849661,-15.153140
28.053007,-4.843175,-15.176623
28.046918,-4.862188,-15.151924
28.039837,-4.855384,-15.167885
28.050487,-4.841692,-15.156346
28.066625,-4.854343,-15.148420
28.054205,-4.853311,-15.166258
28.072283,-4.866281,-15.157406
28.066517,-4.863984,-15.135519
28.064003,-4.857309,-15.160442
28.063510,-4.849297,-15.165961
28.065354,-4.867811,-15.155922
28.061149,-4.871572,-15.153679
28.065515,-4.875257,-15.164671
28.057828,-4.860011,-15.158870
28.064130,-4.875833,-15.156913
28.047546,-4.851644,-15.152520
28.064125,-4.867239,-15.163575
